term,coef,std_err,z,p_value,ci_low,ci_high
Intercept,0.7941763872737019,0.2425867466873419,3.273783082211316,0.0010611803891915376,0.3187151006397705,1.2696376739076332
C(tense)[T.past perfect],0.0316300207461083,0.026733067125909633,1.1831796402984585,0.23673796011808101,-0.020765828016966276,0.08402586950918288
C(tense)[T.present continuous],0.08672632209085572,0.026733067125909636,3.2441590664619526,0.0011779794262270615,0.034330473327781136,0.1391221708539303
C(tense)[T.present perfect],-0.15002417381516192,0.026733067125909653,-5.611932708976692,2.0007924664562087e-08,-0.20242002257823655,-0.09762832505208731
C(tense)[T.simple future],0.1323315374562564,0.026733067125909647,4.95010680342028,7.417276605686183e-07,0.0799356886931818,0.184727386219331
C(tense)[T.simple past],0.01335417560190501,0.026733067125909633,0.49953772752705095,0.6174006152792109,-0.03904167316116957,0.06575002436497959
C(syntactic_role)[T.subject],-0.050770848548012434,0.05057681196197238,-1.0038364732475813,0.31545744088419025,-0.1498995784463329,0.048357881350308024
C(valence)[T.-val],0.11917854142823979,0.018262161510819233,6.525982226015999,6.75573316957357e-11,0.08338536258718052,0.15497172026929906
C(dominance)[T.-dom],0.02343950194709968,0.016907476192009115,1.386339491530839,0.16564326338493218,-0.009698542458706601,0.05657754635290596
C(semantic_role)[T.patient],-0.1428975590918577,0.025482278426225313,-5.607723010544984,2.0500576983059993e-08,-0.19284190705128132,-0.09295321113243407
C(tense)[T.past perfect]:C(syntactic_role)[T.subject],0.11337657044662501,0.023910782136239647,4.741650432036235,2.1198416532650318e-06,0.0665122986174116,0.1602408422758384
C(tense)[T.present continuous]:C(syntactic_role)[T.subject],0.004318283476459613,0.023910782136239647,0.18059984202334975,0.856681679890042,-0.04254598835275379,0.05118255530567302
C(tense)[T.present perfect]:C(syntactic_role)[T.subject],0.09154945550503148,0.023910782136239653,3.8287938463659588,0.00012877281580155335,0.04468518367581806,0.1384137273342449
C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.04047900809112316,0.023910782136239653,-1.6929186113812804,0.09047096021064702,-0.08734327992033658,0.006385263738090258
C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.056806311394133474,0.02391078213623964,-2.3757613226727847,0.017512786724999934,-0.10367058322334687,-0.009942039564920083
C(tense)[T.past perfect]:C(valence)[T.-val],-0.06259175977424333,0.02391078213623951,-2.6177211359129235,0.008851911214541064,-0.10945603160345646,-0.015727487945030198
C(tense)[T.present continuous]:C(valence)[T.-val],-0.0346015461938804,0.02391078213623951,-1.447110596245943,0.14786595074200423,-0.08146581802309354,0.012262725635332733
C(tense)[T.present perfect]:C(valence)[T.-val],-0.06689251936747616,0.023910782136239504,-2.7975880916957943,0.005148572531579803,-0.11375679119668929,-0.02002824753826303
C(tense)[T.simple future]:C(valence)[T.-val],0.04017710019813539,0.023910782136239504,1.680292178198656,0.09290048216160533,-0.006687171631077737,0.08704137202734852
C(tense)[T.simple past]:C(valence)[T.-val],-0.03277093417553794,0.023910782136239487,-1.3705504901016974,0.1705151257800145,-0.07963520600475103,0.014093337653675153
C(tense)[T.past perfect]:C(dominance)[T.-dom],0.014718319021838946,0.023910782136239515,0.6155515506760298,0.5381905360661481,-0.032145952807374194,0.06158259085105209
C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.01986252887519582,0.023910782136239515,-0.8306933985690035,0.4061468565808166,-0.06672680070440896,0.027001742954017322
C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.06668199869330105,0.023910782136239504,-2.788783667274393,0.0052906392204469304,-0.11354627052251418,-0.01981772686408792
C(tense)[T.simple future]:C(dominance)[T.-dom],0.031930076362706096,0.023910782136239504,1.3353840196767315,0.18175069226260288,-0.014934195466507032,0.07879434819191922
C(tense)[T.simple past]:C(dominance)[T.-dom],0.04761890981743407,0.023910782136239487,1.9915245576706688,0.04642324813865429,0.0007546379882209797,0.09448318164664717
C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0007275329364345507,0.023910782136239327,-0.030426981948528456,0.9757265263311844,-0.04759180476564733,0.04613673889277823
C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.012003575376625754,0.02391078213623933,-0.5020151707389388,0.6156568495355534,-0.05886784720583854,0.034860696452587034
C(tense)[T.present perfect]:C(semantic_role)[T.patient],0.024637256943970412,0.023910782136239313,1.030382728745207,0.30283037758035203,-0.02222701488524234,0.07150152877318317
C(tense)[T.simple future]:C(semantic_role)[T.patient],-0.026238740702684088,0.023910782136239313,-1.097360201484857,0.27248396380031636,-0.07310301253189684,0.020625531126528665
C(tense)[T.simple past]:C(semantic_role)[T.patient],0.03903159074678623,0.023910782136239307,1.6323845252903604,0.10259850698188491,-0.007832681082426511,0.08589586257599896
C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.03068531422949991,0.01380489650289239,-2.2227848084968076,0.026230313943502177,-0.057742414185471935,-0.0036282142735278855
C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],0.06189754407203607,0.013804896502892381,4.4837383647945055,7.334658534033551e-06,0.03484044411606406,0.08895464402800808
