step,current_model,candidate_term,full_model,reduced_model,lr_stat,df_diff,p_value,candidate_model
0,selected_mixed__current,C(tense):C(syntactic_role),selected_mixed__current,selected_mixed__candidate__0__C_tense_C_syntactic_role_,70.79590326097241,5,6.997871911368647e-14,selected_mixed__candidate__0__C_tense_C_syntactic_role_
0,selected_mixed__current,C(tense):C(valence),selected_mixed__current,selected_mixed__candidate__0__C_tense_C_valence_,27.254288423217076,5,5.089258596411751e-05,selected_mixed__candidate__0__C_tense_C_valence_
0,selected_mixed__current,C(tense):C(dominance),selected_mixed__current,selected_mixed__candidate__0__C_tense_C_dominance_,40.421583264585934,5,1.2277795702577666e-07,selected_mixed__candidate__0__C_tense_C_dominance_
0,selected_mixed__current,C(tense):C(semantic_role),selected_mixed__current,selected_mixed__candidate__0__C_tense_C_semantic_role_,43.4220722848404,5,3.034221943334721e-08,selected_mixed__candidate__0__C_tense_C_semantic_role_
0,selected_mixed__current,C(syntactic_role):C(valence),selected_mixed__current,selected_mixed__candidate__0__C_syntactic_role_C_valence_,3.212108941945189,1,0.073095212137014,selected_mixed__candidate__0__C_syntactic_role_C_valence_
0,selected_mixed__current,C(syntactic_role):C(dominance),selected_mixed__current,selected_mixed__candidate__0__C_syntactic_role_C_dominance_,0.00011089917825302109,1,0.9915977384096388,selected_mixed__candidate__0__C_syntactic_role_C_dominance_
0,selected_mixed__current,C(syntactic_role):C(semantic_role),selected_mixed__current,selected_mixed__candidate__0__C_syntactic_role_C_semantic_role_,0.08829211653937818,1,0.7663597081075508,selected_mixed__candidate__0__C_syntactic_role_C_semantic_role_
0,selected_mixed__current,C(valence):C(dominance),selected_mixed__current,selected_mixed__candidate__0__C_valence_C_dominance_,17.738144893686695,1,2.5349224929941227e-05,selected_mixed__candidate__0__C_valence_C_dominance_
0,selected_mixed__current,C(valence):C(semantic_role),selected_mixed__current,selected_mixed__candidate__0__C_valence_C_semantic_role_,2.9423558076960035,1,0.08628480545713677,selected_mixed__candidate__0__C_valence_C_semantic_role_
0,selected_mixed__current,C(dominance):C(semantic_role),selected_mixed__current,selected_mixed__candidate__0__C_dominance_C_semantic_role_,3.8885977725003613,1,0.048614997075871885,selected_mixed__candidate__0__C_dominance_C_semantic_role_
1,selected_mixed__current,C(tense):C(syntactic_role),selected_mixed__current,selected_mixed__candidate__1__C_tense_C_syntactic_role_,70.79590209158778,5,6.997875834415008e-14,selected_mixed__candidate__1__C_tense_C_syntactic_role_
1,selected_mixed__current,C(tense):C(valence),selected_mixed__current,selected_mixed__candidate__1__C_tense_C_valence_,27.254287971562007,5,5.089259628114242e-05,selected_mixed__candidate__1__C_tense_C_valence_
1,selected_mixed__current,C(tense):C(dominance),selected_mixed__current,selected_mixed__candidate__1__C_tense_C_dominance_,40.42158259275311,5,1.2277799535542153e-07,selected_mixed__candidate__1__C_tense_C_dominance_
1,selected_mixed__current,C(tense):C(semantic_role),selected_mixed__current,selected_mixed__candidate__1__C_tense_C_semantic_role_,43.42207157587109,5,3.0342229479480653e-08,selected_mixed__candidate__1__C_tense_C_semantic_role_
1,selected_mixed__current,C(syntactic_role):C(valence),selected_mixed__current,selected_mixed__candidate__1__C_syntactic_role_C_valence_,3.212108888736111,1,0.07309521451385431,selected_mixed__candidate__1__C_syntactic_role_C_valence_
1,selected_mixed__current,C(syntactic_role):C(semantic_role),selected_mixed__current,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,0.08829211509873858,1,0.766359709958234,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_
1,selected_mixed__current,C(valence):C(dominance),selected_mixed__current,selected_mixed__candidate__1__C_valence_C_dominance_,17.73814459983987,1,2.5349228845446154e-05,selected_mixed__candidate__1__C_valence_C_dominance_
1,selected_mixed__current,C(valence):C(semantic_role),selected_mixed__current,selected_mixed__candidate__1__C_valence_C_semantic_role_,2.9423557589761913,1,0.08628480805935411,selected_mixed__candidate__1__C_valence_C_semantic_role_
1,selected_mixed__current,C(dominance):C(semantic_role),selected_mixed__current,selected_mixed__candidate__1__C_dominance_C_semantic_role_,3.8885977080790326,1,0.04861499894072641,selected_mixed__candidate__1__C_dominance_C_semantic_role_
2,selected_mixed__current,C(tense):C(syntactic_role),selected_mixed__current,selected_mixed__candidate__2__C_tense_C_syntactic_role_,70.79497108580836,5,7.00099986560366e-14,selected_mixed__candidate__2__C_tense_C_syntactic_role_
2,selected_mixed__current,C(tense):C(valence),selected_mixed__current,selected_mixed__candidate__2__C_tense_C_valence_,27.25392837907566,5,5.0900811005366546e-05,selected_mixed__candidate__2__C_tense_C_valence_
2,selected_mixed__current,C(tense):C(dominance),selected_mixed__current,selected_mixed__candidate__2__C_tense_C_dominance_,40.42104776801716,5,1.228085121483306e-07,selected_mixed__candidate__2__C_tense_C_dominance_
2,selected_mixed__current,C(tense):C(semantic_role),selected_mixed__current,selected_mixed__candidate__2__C_tense_C_semantic_role_,43.42149374313885,5,3.0350418503105375e-08,selected_mixed__candidate__2__C_tense_C_semantic_role_
2,selected_mixed__current,C(syntactic_role):C(valence),selected_mixed__current,selected_mixed__candidate__2__C_syntactic_role_C_valence_,3.2120664987596683,1,0.07309710809344469,selected_mixed__candidate__2__C_syntactic_role_C_valence_
2,selected_mixed__current,C(valence):C(dominance),selected_mixed__current,selected_mixed__candidate__2__C_valence_C_dominance_,17.737910632247804,1,2.5352346653333897e-05,selected_mixed__candidate__2__C_valence_C_dominance_
2,selected_mixed__current,C(valence):C(semantic_role),selected_mixed__current,selected_mixed__candidate__2__C_valence_C_semantic_role_,2.942316932749236,1,0.08628688186893743,selected_mixed__candidate__2__C_valence_C_semantic_role_
2,selected_mixed__current,C(dominance):C(semantic_role),selected_mixed__current,selected_mixed__candidate__2__C_dominance_C_semantic_role_,3.888546379923355,1,0.04861648480096078,selected_mixed__candidate__2__C_dominance_C_semantic_role_
3,selected_mixed__current,C(tense):C(syntactic_role),selected_mixed__current,selected_mixed__candidate__3__C_tense_C_syntactic_role_,70.76395266808686,5,7.105883676711303e-14,selected_mixed__candidate__3__C_tense_C_syntactic_role_
3,selected_mixed__current,C(tense):C(valence),selected_mixed__current,selected_mixed__candidate__3__C_tense_C_valence_,27.2419492596091,5,5.1175221023845755e-05,selected_mixed__candidate__3__C_tense_C_valence_
3,selected_mixed__current,C(tense):C(dominance),selected_mixed__current,selected_mixed__candidate__3__C_tense_C_dominance_,40.403295073716436,5,1.2382577001561566e-07,selected_mixed__candidate__3__C_tense_C_dominance_
3,selected_mixed__current,C(tense):C(semantic_role),selected_mixed__current,selected_mixed__candidate__3__C_tense_C_semantic_role_,43.40243607539014,5,3.0621740960258804e-08,selected_mixed__candidate__3__C_tense_C_semantic_role_
3,selected_mixed__current,C(syntactic_role):C(valence),selected_mixed__current,selected_mixed__candidate__3__C_syntactic_role_C_valence_,3.2106527240321157,1,0.07316029221432961,selected_mixed__candidate__3__C_syntactic_role_C_valence_
3,selected_mixed__current,C(valence):C(dominance),selected_mixed__current,selected_mixed__candidate__3__C_valence_C_dominance_,17.730091634854034,1,2.545676304026835e-05,selected_mixed__candidate__3__C_valence_C_dominance_
3,selected_mixed__current,C(dominance):C(semantic_role),selected_mixed__current,selected_mixed__candidate__3__C_dominance_C_semantic_role_,3.8868348049290944,1,0.04866605936329805,selected_mixed__candidate__3__C_dominance_C_semantic_role_
4,selected_mixed__current,C(tense):C(syntactic_role),selected_mixed__current,selected_mixed__candidate__4__C_tense_C_syntactic_role_,70.73011983789183,5,7.222074152772911e-14,selected_mixed__candidate__4__C_tense_C_syntactic_role_
4,selected_mixed__current,C(tense):C(valence),selected_mixed__current,selected_mixed__candidate__4__C_tense_C_valence_,27.228880298658623,5,5.14762694021534e-05,selected_mixed__candidate__4__C_tense_C_valence_
4,selected_mixed__current,C(tense):C(dominance),selected_mixed__current,selected_mixed__candidate__4__C_tense_C_dominance_,40.38393325160723,5,1.2494480505539732e-07,selected_mixed__candidate__4__C_tense_C_dominance_
4,selected_mixed__current,C(tense):C(semantic_role),selected_mixed__current,selected_mixed__candidate__4__C_tense_C_semantic_role_,43.38163524261472,5,3.09206406319549e-08,selected_mixed__candidate__4__C_tense_C_semantic_role_
4,selected_mixed__current,C(valence):C(dominance),selected_mixed__current,selected_mixed__candidate__4__C_valence_C_dominance_,17.721579668635968,1,2.55709248015782e-05,selected_mixed__candidate__4__C_valence_C_dominance_
