step,candidate_term,lr_stat,df_diff,p_value,candidate_model
0,C(tense),877.7455233273795,5,1.743157376313636e-187,selected_mixed_random_slopes__candidate__0__C_tense
0,C(valence),43.80146352859447,1,3.634331604840364e-11,selected_mixed_random_slopes__candidate__0__C_valence
0,C(semantic_role),37.95577702540322,1,7.236647183408175e-10,selected_mixed_random_slopes__candidate__0__C_semantic_role
0,C(syntactic_role),47.51411786058452,1,5.4609238885674495e-12,selected_mixed_random_slopes__candidate__0__C_syntactic_role
0,C(dominance),2.8336003494332545,1,0.09231119947056045,selected_mixed_random_slopes__candidate__0__C_dominance
0,log_frequency,0.09293621039250866,1,0.7604770405745964,selected_mixed_random_slopes__candidate__0__log_frequency
0,lex_emb_norm,0.8607195540971588,1,0.35353740782110965,selected_mixed_random_slopes__candidate__0__lex_emb_norm
1,C(tense),877.7454764858994,5,1.7431980636046683e-187,selected_mixed_random_slopes__candidate__1__C_tense
1,C(semantic_role),37.95557827036828,1,7.237384440825795e-10,selected_mixed_random_slopes__candidate__1__C_semantic_role
1,C(valence),43.80150951325777,1,3.6342462149011734e-11,selected_mixed_random_slopes__candidate__1__C_valence
1,C(syntactic_role),47.51443239138462,1,5.460047760804646e-12,selected_mixed_random_slopes__candidate__1__C_syntactic_role
1,C(dominance),2.8335896010685246,1,0.09231181716862871,selected_mixed_random_slopes__candidate__1__C_dominance
1,lex_emb_norm,1.019098537741229,1,0.3127329339877033,selected_mixed_random_slopes__candidate__1__lex_emb_norm
2,C(tense),877.7455377055157,5,1.7431448874150808e-187,selected_mixed_random_slopes__candidate__2__C_tense
2,C(semantic_role),37.95565892526065,1,7.237085252331747e-10,selected_mixed_random_slopes__candidate__2__C_semantic_role
2,C(valence),43.80150571840932,1,3.6342532615632365e-11,selected_mixed_random_slopes__candidate__2__C_valence
2,C(syntactic_role),47.5144854671089,1,5.459899931872628e-12,selected_mixed_random_slopes__candidate__2__C_syntactic_role
2,C(dominance),2.8335960545227863,1,0.09231144629434948,selected_mixed_random_slopes__candidate__2__C_dominance
3,C(tense),877.7455679057166,5,1.7431186557083303e-187,selected_mixed_random_slopes__candidate__3__C_tense
3,C(valence),45.01828278801986,1,1.952034281815652e-11,selected_mixed_random_slopes__candidate__3__C_valence
3,C(semantic_role),36.473520543804625,1,1.5475437221305768e-09,selected_mixed_random_slopes__candidate__3__C_semantic_role
3,C(syntactic_role),47.222017037216574,1,6.338445032635208e-12,selected_mixed_random_slopes__candidate__3__C_syntactic_role
