predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(tense),0.18275636851524776,0.01051128341709247,0.36768069542620635,500,0,0.49705184631301114
male_perc,0.15368163237063479,0.010121763873041863,0.3091863223335781,500,0,0.49705184631301114
male_perc:C(semantic_role),0.1531509548991667,0.010104422361997442,0.30811867219727035,500,0,0.49705184631301114
"C(dominance, Treatment(reference='-dom')):C(tense)",0.002306409999501701,0.00013709656461093243,0.004640179926118358,500,0,0.49705184631301114
C(semantic_role):C(tense),0.002148751329956,0.0001342869427565517,0.004322992351592343,500,0,0.49705184631301114
C(tense),0.0021023840352884875,0.00013471299506490712,0.00422970772744005,500,0,0.49705184631301114
"C(dominance, Treatment(reference='-dom')):C(syntactic_role)",0.0005539386599691048,1.1141199388979396e-05,0.0011144484505551358,500,0,0.49705184631301114
"C(valence, Treatment(reference='-val')):C(syntactic_role)",0.00019332681171328669,1.0671453061544334e-05,0.00038894697433945746,500,0,0.49705184631301114
C(syntactic_role),0.00014238752192706494,1.0071351377677999e-05,0.0002864641243831101,500,0,0.49705184631301114
"C(dominance, Treatment(reference='-dom'))",1.5692169606427388e-05,9.831128331901848e-07,3.157048851709822e-05,500,0,0.49705184631301114
