semantic_role,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
agent,-0.051054448271616794,-0.10506809966184258,-0.015313424105249341,0.00295528089267135,0.022735835730853676,-0.022892368126569175,0.02586956862590191,0.012577122535737742,0.05456069061280576,-0.024389832409816622,0.006914208025128687,0.019082907687046527,0.03364596097136556,0.0064157987455801535,0.10415542345209272
patient,0.05105444827180163,0.10506809966188416,0.015313424105245032,-0.0029552808926948835,-0.02273583573088559,0.022892368126570382,-0.02586956862593004,-0.01257712253575834,-0.054560690612812435,0.024389832409813714,-0.0069142080251369895,-0.0190829076870529,-0.03364596097136376,-0.006415798745582314,-0.10415542345201252
