profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.349234887578158,-0.004306268700562767,-0.12335831075462145
carpenter,1.895051649781419,0.1862250563083972,-0.11490922654451195
cashier,-0.5778709975252234,-0.06651985489735263,-0.004943962017782732
ceo,0.8431310196273134,0.1696529384833307,-0.22229275459583775
cleaner,-0.6613986803596812,-0.036764660988507135,0.09124179556740213
cook,-0.20216398898942178,-0.0022006779053115864,0.5651965922272785
designer,-0.11003527312585921,-0.019579080086112668,0.24792784758587638
driver,1.0838403225328914,0.09107031713255995,-0.28702066444409885
lawyer,0.4447399689457848,0.04861603395667462,-0.08614886243106315
manager,0.4538589858312085,0.09316406692230093,-0.1042905089409101
receptionist,-1.6147571922648631,-0.20170857691431016,-0.11322120292396906
salesperson,0.7339676945521924,0.05202680396205857,-0.44626293273226353
secretary,-1.8699062527541292,-0.25032184385420825,0.46675915388557904
teacher,-0.7676921437966999,-0.059354253415154365,0.13132303611474247
