predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
profession_embedding,0.449614744570149,0.000756943745599388,0.9322656754772415,500,0,0.0,0.48228177481701673
log_frequency,0.019090385182408905,0.000786239786970589,0.03958346796258685,500,0,0.0,0.48228177481701673
lex_emb_norm,0.006629853352215903,0.00019940067058876935,0.013746846135190047,500,0,0.0,0.48228177481701673
C(tense),0.0041977937659238495,9.470715817570908e-18,0.008704027365571798,500,0,0.0,0.48228177481701673
C(syntactic_role),0.0023556966218267663,8.515561301057006e-18,0.004884481945685268,500,0,0.0,0.48228177481701673
"C(valence, Treatment(reference='-val'))",0.0003703571240570154,8.968196026336262e-18,0.00076792684981209,500,0,0.0,0.48228177481701673
"C(dominance, Treatment(reference='-dom'))",1.3769408798722128e-05,7.890515468132062e-18,2.8550547662611553e-05,500,0,0.0,0.48228177481701673
C(semantic_role),9.17479163770385e-06,9.405203164119907e-18,1.9023716252153363e-05,500,0,0.0,0.48228177481701673
