predictor,unique_r2,relative_r2
profession_embedding_7,0.1687642105216175,0.3336713541996425
profession_embedding_8,0.09456152709442844,0.18696187244476503
profession_embedding_10,0.08839736815230359,0.1747744349817896
profession_embedding_9,0.06711356220850628,0.13269325953683614
profession_embedding_4,0.03501895966528412,0.0692375691389927
profession_embedding_2,0.025257632630170335,0.04993800793152455
lex_emb_norm,0.00833026953956173,0.016470152703126302
C(tense),0.006875583136897845,0.013594026417746085
log_frequency,0.00517499279570055,0.010231712332714124
profession_embedding_1,0.0016548824931323924,0.003271943031156092
C(semantic_role),0.0015039566052514886,0.0029735406315160692
"C(valence, Treatment(reference='-val'))",0.001352441131140969,0.0026739725342731883
profession_embedding_3,0.000776442741806771,0.0015351400650433686
profession_embedding_6,0.00048752853966427256,0.0009639147277610411
"C(dominance, Treatment(reference='-dom'))",0.0004262619877944962,0.0008427818568380776
C(syntactic_role),8.280036427565918e-05,0.00016370834545244967
profession_embedding_5,1.319640449359838e-06,2.6091208226765545e-06
