,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
CEO,0.16712304855114715,-0.00825486290543502,-0.0537981269954208,-0.08161228158296434,0.08274572176224318,-0.023348684113006404,0.07675078505993699,0.08469289445486174,0.05388960058146071,0.012869269123464117
accountant,0.07793360707403109,0.04896199656671198,-0.16945443034252405,-0.14523304308870744,-0.13545128870934395,-0.0426881314871996,-0.03658101471783073,-0.18659388114114825,-0.00278531043868825,0.0034791146447322886
administrator,0.18627765922532458,0.07364261125348628,0.06560541398960404,0.15090898495382413,0.07509538532051863,0.07686121923607382,-0.07835189029267153,0.20041077910043772,-0.08037066912608473,0.010192101504632997
agronomist,0.2483360493390725,0.056675475077495256,-0.055629096272698075,-0.03172462750357976,-0.01600433405021112,-0.0056159636811055425,-0.0684003575027549,-0.09157061564757507,-0.0059494489574854655,-0.0005474414378870392
bodyguard,0.7732871727501486,-0.07135710769521347,-0.023438021973283554,-0.07916060273264597,-0.03530214660329205,-0.03979827622890465,-0.08124969993732398,-0.08399268030488058,0.04101305129886292,-0.047038020357346236
bookbinder,0.5931430236029798,-0.08697289848382693,-0.1787422600177011,-0.21891234959836392,-0.20911960308239902,-0.0959125627486277,0.08167943317946046,-0.015584144922088289,0.015140952636613088,-0.009715817225326384
builder,1.7977740108714566,-0.06250277209738511,-0.2337953466479018,-0.29637129033772014,-0.21339743448067527,-0.12448378000173779,0.004990065405675356,-0.284165593716096,-0.06656229727098859,-0.047621736616375615
cashier,-1.219121502045639,0.11070148631270395,0.24690420886027453,0.3013796614209672,0.31866752528128794,0.12837219432588373,-0.03289982006463865,-0.08106953484866194,0.03755679307833518,0.05087403885935628
chauffeur,1.3540848345084207,-0.05927974649272382,-0.10572003981865044,-0.15546279813944303,-0.11153545307831511,-0.07579555175461106,0.10245791904126925,-0.4692669403223834,-0.0440005671297857,-0.011863948112303416
colonel,1.5415188881852413,-0.15424605378329517,-0.17542062671608094,-0.27490564181725097,-0.21452958121069474,-0.1254545684510986,0.16190938192961435,-0.064388954844015,0.030194104720620812,-0.047995487215952246
doctor,0.11413256314267395,0.023968281515391633,-0.10545290887547007,-0.09430686709301833,-0.012661424305686064,-0.024118731504229447,0.01770412716366685,-0.15001750527417926,-0.00233744789020646,0.02188107948666941
electrician,1.3461584567484477,-0.1097144246272111,-0.07865269423520888,-0.12295832702238293,-0.33815500086986516,-0.06928926404654243,0.04973875613348424,-0.10391111732851478,-0.05055154936623248,-0.08596104498271345
farmer,2.028801699151158,-0.06480249764085834,-0.3523966298105748,-0.39365684335379947,-0.41828620246145765,-0.16049162717057303,0.030839085899430435,-0.29882399607040944,-0.05853694663143405,-0.0600153756204915
farmhand,0.485957871959276,-0.06534015763951913,-0.054290623374642966,-0.15780245838775986,-0.22504516570019356,-0.08800418316190667,0.03218135386541563,0.015021831862728437,0.06031648787641253,-0.09574686267056788
fisherman,3.106563778841484,-0.31915209147880097,-0.2700728670586591,-0.5068832675809174,-0.5632016018435386,-0.2524605797570616,0.2138791834976324,0.19010706697136903,-0.07246769912505885,-0.18964506801309677
hairdresser,-1.4537834834956795,0.10095283530862562,0.2678788118880609,0.3671993402930818,0.42534483393400035,0.17220039896053171,-0.004622926137712957,0.15043457055443066,0.010327752140351072,0.09358708528440206
