predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
log_frequency:lex_emb_norm,0.05393787010095946,0.0003363267056847311,0.5790283966230865,500,0,0.09315237459082659,OLS fixed-effect R2
C(tense):C(syntactic_role),0.00506553746946897,0.0003811325505212014,0.05437904821771244,500,0,0.09315237459082659,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.004225190986774453,0.0003425241655163998,0.045357845200765703,500,0,0.09315237459082659,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.0038974386543847656,0.0003302425864562072,0.0418393913360162,500,0,0.09315237459082659,OLS fixed-effect R2
C(syntactic_role),0.0036729468096268524,0.00032680607965601016,0.03942944906944492,500,0,0.09315237459082659,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.003554430884882939,0.00032282209915830256,0.03815716883757218,500,0,0.09315237459082659,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0014864481592930404,0.00011129956470819468,0.015957168733725678,500,0,0.09315237459082659,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0014273050626303835,0.0001293357808542963,0.015322261712595578,500,0,0.09315237459082659,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0013780745503813292,0.00010409139541210508,0.014793767270394827,500,0,0.09315237459082659,OLS fixed-effect R2
C(semantic_role):log_frequency,0.0013384532035240664,0.00015434696619185778,0.014368428173766316,500,0,0.09315237459082659,OLS fixed-effect R2
C(tense):C(semantic_role),0.0013100191474104972,0.00010391537528496907,0.014063185755218574,500,0,0.09315237459082659,OLS fixed-effect R2
C(tense),0.0011649023386674196,0.0001023801791999119,0.01250534238965215,500,0,0.09315237459082659,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.0011447184586265218,0.00013688793386551888,0.012288666431260796,500,0,0.09315237459082659,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0010820312809745058,2.6809086090943816e-05,0.011615713348450287,500,0,0.09315237459082659,OLS fixed-effect R2
C(tense):log_frequency,0.0010719110356113915,0.0001332833844451372,0.011507071508587721,500,0,0.09315237459082659,OLS fixed-effect R2
log_frequency,0.0010635071406669616,0.00011489446723192081,0.011416854861064304,500,0,0.09315237459082659,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.001019604842147161,0.00012591157578176873,0.010945559322838444,500,0,0.09315237459082659,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0008089283522264015,0.00015594074319561936,0.008683926263604478,500,0,0.09315237459082659,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0007967253328357058,0.00014517091124656146,0.008552925637541025,500,0,0.09315237459082659,OLS fixed-effect R2
C(tense):lex_emb_norm,0.000743591368370963,0.00012590025333947665,0.00798252724782595,500,0,0.09315237459082659,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.0007103105555147369,0.00010433179729513924,0.0076252544139082685,500,0,0.09315237459082659,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.000691901743494445,0.0001435713290650358,0.007427633987148855,500,0,0.09315237459082659,OLS fixed-effect R2
lex_emb_norm,0.0006728857131007577,0.0001441290843990839,0.0072234950107973065,500,0,0.09315237459082659,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00046911919344997386,2.72426867268145e-05,0.005036041169219657,500,0,0.09315237459082659,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",0.0002846281702640681,2.580641023556596e-05,0.003055511698057105,500,0,0.09315237459082659,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",7.549547932454881e-05,4.633790971678524e-06,0.0008104514743307833,500,0,0.09315237459082659,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",3.047950952314893e-05,2.728900474877617e-06,0.00032720056420494593,500,0,0.09315237459082659,OLS fixed-effect R2
C(semantic_role),2.7919046691269766e-05,2.515387516341054e-06,0.00029971374121062034,500,0,0.09315237459082659,OLS fixed-effect R2
