,Group
CEO,0.06747980105879664
accountant,0.06406186866671781
administrator,-0.28771501840102875
agronomist,0.4926554410787914
bodyguard,0.8942633560289255
bookbinder,1.1485224743356959
builder,1.1694626941770523
cashier,-1.8575427312774357
chauffeur,1.6085895891382413
colonel,2.2436066319039774
doctor,0.28532051778928647
electrician,1.3094332436675749
farmer,1.8476024625063188
farmhand,1.0735616945212954
fisherman,2.6254496044188484
hairdresser,-1.2390975273231954
hawker,0.34764868671831184
housekeeper,-3.802589877781295
manager,-0.2312718928751405
midwife,-4.590880405462545
molder,0.12399232296431859
nurse,-2.8731822611511326
paralegal,-1.2572073386274791
programmer,0.44657129316262495
salesperson,-0.42945268521962254
scientist,-0.17028482750543758
scrivener,0.926716923304829
secretary,-3.123936041935331
sergeant,1.2783342993308988
soldier,1.4430034722425042
solicitor,0.062412815658764775
teacher,-1.2876261189086704
tradesperson,0.5541621978901657
welder,1.137935336544345
