predictor,unique_r2,relative_r2
profession_embedding_7,0.08960581517376032,0.2229130640002981
profession_embedding_10,0.07175445705737227,0.17850410542351225
profession_embedding_2,0.04459258791596876,0.110933318164401
profession_embedding_4,0.041202496596329574,0.10249976235291523
profession_embedding_9,0.027997336669677186,0.06964918614694122
profession_embedding_3,0.027842133125853707,0.06926308511733385
profession_embedding_1,0.023530886791479855,0.05853796500998671
log_frequency,0.021059664866711736,0.052390287540543985
profession_embedding_5,0.016772382218129822,0.04172478207555305
lex_emb_norm,0.01640150713863786,0.04080215333577104
C(tense),0.010175422328429717,0.025313475072224256
profession_embedding_8,0.007163568624489525,0.017820863837517707
profession_embedding_6,0.002348295708720416,0.005841872992221919
"C(dominance, Treatment(reference='-dom'))",0.0007823765550958317,0.001946324072385436
C(syntactic_role),0.0006009946280025602,0.001495098880758812
"C(valence, Treatment(reference='-val'))",9.745231764213269e-05,0.00024243286752553828
C(semantic_role),4.9130819064324704e-05,0.00012222311010993373
