predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(semantic_role),0.12591623523854806,0.009525689366851636,0.2584095917092791,500,0,0.4872738446187739
male_perc,0.12547424415070838,0.009525689366851636,0.25750252252688643,500,0,0.4872738446187739
"male_perc:C(valence, Treatment(reference='-val'))",0.11964059019780368,0.009376436912628856,0.24553049895671358,500,0,0.4872738446187739
"male_perc:C(dominance, Treatment(reference='-dom'))",0.1158554127941568,0.00927151218939498,0.23776242881412618,500,0,0.4872738446187739
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00016340095475335349,8.529574641245018e-07,0.00033533701132921,500,0,0.4872738446187739
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0001555587325455212,1.137129556320509e-06,0.00031924293549395196,500,0,0.4872738446187739
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",3.801793666140507e-05,1.3908926484212141e-06,7.802170603092597e-05,500,0,0.4872738446187739
"C(dominance, Treatment(reference='-dom'))",1.4206520412925362e-05,9.577595009523706e-07,2.915510563477925e-05,500,0,0.4872738446187739
C(semantic_role),1.1484899855449315e-05,7.131433447568209e-07,2.3569703119269006e-05,500,0,0.4872738446187739
"C(valence, Treatment(reference='-val'))",4.69319332754492e-06,2.8757580729206397e-07,9.631531385019674e-06,500,0,0.4872738446187739
