profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5907396802232536,0.007486419243506114,-0.10122514941722342
carpenter,2.758444238524056,0.07684398374642494,-0.15969290483945228
cashier,-1.0833487384974467,0.026133819950025106,-0.007667358823665515
ceo,0.7318841626316107,-0.002748656561728544,-0.08695109316273107
cleaner,-0.9385391905898901,-0.03944474349648633,0.33452373644665806
cook,-0.2764874376350012,0.025748759323474826,0.349704267473167
designer,0.141607576692211,0.0047084543233770594,-0.0037808003906114533
driver,1.1213704830326914,-0.007659640640236917,-0.24084326097585715
lawyer,1.0395794361271053,0.03404867743768342,0.03845607878658815
manager,0.4009770635386222,-0.004175141408912308,-0.19896925218312758
receptionist,-1.8226063770651444,-0.04260449696576866,0.09417350805061242
salesperson,0.3306128519549916,-0.00557683460809147,-0.09332627559410621
secretary,-1.9960430181105284,-0.024091621808747375,0.03003576493091001
teacher,-0.9981907306728196,-0.04866897853150098,0.045562739688613456
