profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6174272306993367,0.016175312552047818,-0.037343733866201594
carpenter,2.4495020755596446,0.17317970641012084,-0.021877548040335086
cashier,-0.9266088150300021,-0.03584274710866238,0.1784550763125853
ceo,0.3708544327404145,0.09531331054116933,0.038012035364002716
cleaner,-0.605861433056022,-0.09974549050215623,-0.15683093290374794
cook,-0.15159742860723377,0.015376440187252908,0.14107992184515872
designer,-0.026285579516351194,0.03829064380466313,0.16950399384600373
driver,1.20640099400092,0.02208126064763908,-0.11992953283635964
lawyer,1.0210701359532453,-0.025667880902543638,-0.3446751805011111
manager,0.38127942841262225,0.00528204922775603,0.02264690045265099
receptionist,-1.9292545171137836,-0.053586188481025726,0.008617972525124041
salesperson,0.044220074828230996,-0.010666645014828504,0.0738626588053063
secretary,-1.6727901091564403,-0.0766870607377337,-0.03150313262012055
teacher,-0.7783564897928724,-0.06350271062760444,0.07998150161953141
