profession,Group,C(semantic_role)[T.patient]
accountant,0.598441877734958,0.01660629866244508
carpenter,2.430842417625267,0.18771192125546038
cashier,-0.8297199713874172,-0.05043623405159997
ceo,0.38273208261200264,0.10922865087281798
cleaner,-0.6835978046195685,-0.10110834392530041
cook,-0.0768866767418823,0.007398967754913919
designer,0.062042184303893785,0.03148077679832587
driver,1.144669032017844,0.025132869400690767
lawyer,0.8406885501212068,-0.010529281895789085
manager,0.3951388286964545,0.0002534080775603337
receptionist,-1.9287913175999711,-0.04560259953597953
salesperson,0.08615264867825624,-0.020389136845424646
secretary,-1.6902701045280075,-0.07295268629302512
teacher,-0.7314417469546691,-0.07679461027782354
