profession,Group,C(syntactic_role)[T.subject]
accountant,0.5687024126693571,0.15786694104546936
carpenter,2.532257837616832,0.057978452007813576
cashier,-0.8470444927723675,-0.011204419154651242
ceo,0.4293672372923544,-0.028788418676266053
cleaner,-0.7634170392005495,-0.051096135178355866
cook,-0.08491117794427541,-0.005384432552479384
designer,0.2422473890865938,-0.005900796553100317
driver,1.0339871897168917,-0.12279798820864961
lawyer,0.9566456131954587,0.10082213179004781
manager,0.5374506975107528,-0.019572613945218472
receptionist,-2.192813660542503,0.08750468649278727
salesperson,0.20696650717010653,-0.07157272804982058
secretary,-1.9284044787407517,0.013336988375544881
teacher,-0.6910340347513595,-0.10119166739148737
