target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance,converged_rate
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_syntactic_role_,1,7434.745680181666,7693.63373065532,0.8609559542528943,0.015170618048234,0.0744264470944566,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,1,7440.06655783434,7692.1417648744755,0.8608142417497118,0.0151705958097772,0.0744265875160467,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__2__C_syntactic_role_C_semantic_role_,1,7441.454692290892,7686.717055897511,0.8607446876137304,0.0151700081736986,0.0744263712589772,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_syntactic_role_C_semantic_role_,1,7443.850604129002,7729.990028336724,0.8609351969007704,0.0151707041023214,0.0744265720360838,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__1__C_valence_C_dominance_,1,7595.487169704305,7847.562376744441,0.8572648710986223,0.015109273545783,0.0740548064489975,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__2__C_valence_C_dominance_,1,7596.7974217882,7842.059785394819,0.8571451405419499,0.015114072324738,0.0741221849280527,,,1.0
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_valence_C_dominance_,1,7599.414333331442,7885.5537575391645,0.8574094776313065,0.0151150168839409,0.0742245683607983,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,1,7190.46029937773,7469.786880151934,0.9027407260279615,0.002061333933153,0.0302787720100631,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_valence_C_semantic_role_,1,7191.402616310479,7463.916353651167,0.9026945771437433,0.0020611662954155,0.0302778204574033,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_syntactic_role_C_valence_,1,7191.6723658764895,7464.186103217177,0.9026904713411291,0.0020611398651211,0.0302777717685197,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__2__C_dominance_C_semantic_role_,1,7192.348845757653,7464.862583098341,0.9026802834881008,0.0020610619553203,0.0302776505698411,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_syntactic_role_C_dominance_,1,7192.372007262631,7478.511431470353,0.9027421405014412,0.0020613384720131,0.0302788477900585,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__0__C_syntactic_role_C_semantic_role_,1,7192.460188479992,7478.599612687714,0.9027407278022465,0.0020613339387059,0.0302787721011825,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed,1,7192.613269034511,7458.314162941681,0.902647326406332,0.0020606946068568,0.0302774183739709,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_syntactic_role_C_valence_,1,7192.613269034511,7458.314162941681,0.902647326406332,0.0020606946068568,0.0302774183739709,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__3__C_dominance_C_semantic_role_,1,7193.289451115408,7458.990345022578,0.9026378118006085,0.0020605651365994,0.0302774878750152,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_valence_C_semantic_role_,1,7193.314363021607,7472.640943795812,0.9026959256709806,0.0020611743758941,0.03027783635656,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_valence_,1,7193.584116151367,7472.910696925572,0.902691811894539,0.0020611488011744,0.0302777877110682,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_dominance_C_semantic_role_,1,7194.26060497071,7473.587185744915,0.9026816034625151,0.002061073058116,0.0302776661092269,,,1.0
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__full,1,7194.371896363453,7487.324164004693,0.9027421422790134,0.0020613384778427,0.0302788478892316,,,1.0
