target_model,best_model_name,best_model_aic,term,coef,std_err,p_value,ci_low,ci_high,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,Intercept,1.2055595761211129,0.2696937871345824,7.818116577607563e-06,0.6769694664831195,1.7341496857591063,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.past perfect],-0.059199741908476,0.0348339515182809,0.0892280340587526,-0.127473032323521,0.0090735485065689,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present continuous],0.0876534598214347,0.0348339515182809,0.0118586579072157,0.0193801694063897,0.1559267502364797,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present perfect],-0.0038617815290117,0.0348339515182809,0.9117253241992648,-0.0721350719440567,0.0644115088860333,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple future],0.3386082240513443,0.0348339515182809,2.4623438971938024e-22,0.2703349336362993,0.4068815144663893,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple past],0.0391017368861662,0.034833951518281,0.2616422672020314,-0.0291715535288788,0.1073750273012113,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(syntactic_role)[T.subject],-0.2768894740507847,0.0788998773398287,0.0004491564859556,-0.431530392021477,-0.1222485560800924,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(valence)[T.-val],0.0948983328683073,0.0301670869290265,0.001656574299936,0.0357719289689262,0.1540247367676884,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(dominance)[T.-dom],0.1541471935453925,0.0301670869290265,3.2253325132705255e-07,0.0950207896460114,0.2132735974447737,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(semantic_role)[T.patient],0.1979509626111208,0.0385685111774461,2.859944251683189e-07,0.1223580697659958,0.2735438554562458,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.1008658272879477,0.0348339515182808,0.0037841237536197,-0.1691391177029925,-0.032592536872903,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.1258972167968765,0.0348339515182807,0.0003012647803653,-0.1941705072119212,-0.0576239263818318,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0528782435825908,0.0348339515182808,0.1290121901017874,-0.1211515339976355,0.0153950468324539,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.109057617187501,0.0348339515182807,0.0017433967127814,-0.1773309076025457,-0.0407843267724563,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple past]:C(syntactic_role)[T.subject],0.0232918875558022,0.0348339515182808,0.5037157312434299,-0.0449814028592424,0.091565177970847,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.past perfect]:C(valence)[T.-val],0.0931893484933001,0.0348339515182806,0.0074674696093293,0.0249160580782558,0.1614626389083445,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present continuous]:C(valence)[T.-val],-0.0395621163504498,0.0348339515182806,0.2560677471455733,-0.1078354067654941,0.0287111740645944,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present perfect]:C(valence)[T.-val],0.0887407575334787,0.0348339515182806,0.0108486551711006,0.0204674671184343,0.1570140479485231,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple future]:C(valence)[T.-val],0.0283272879464257,0.0348339515182806,0.4160981568534154,-0.0399460024686186,0.0966005783614701,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple past]:C(valence)[T.-val],0.1146405901227647,0.0348339515182806,0.0009981097228025,0.0463672997077203,0.1829138805378092,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0947675432477722,0.0348339515182806,0.0065173208567866,-0.1630408336628165,-0.0264942528327278,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.0501787458147366,0.0348339515182806,0.1497224299007351,-0.118452036229781,0.0180945446003076,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.0929242815290222,0.0348339515182806,0.0076387107223918,-0.1611975719440666,-0.0246509911139778,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple future]:C(dominance)[T.-dom],-0.1052734375000038,0.0348339515182806,0.0025098588290419,-0.1735467279150482,-0.0370001470849594,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(tense)[T.simple past]:C(dominance)[T.-dom],-0.0956098284040218,0.0348339515182806,0.0060560506467925,-0.1638831188190662,-0.0273365379889774,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(syntactic_role)[T.subject]:C(valence)[T.-val],0.0664184570312497,0.0201113912860176,0.0009581711034813,0.0270008544316623,0.105836059630837,0.0151628679298313,0.0744119251464515,,
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0610345749627965,0.0201113912860176,0.0024067442299235,0.0216169723632092,0.1004521775623839,0.0151628679298313,0.0744119251464515,,
