,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5576548369713009,0.021588831011355027,0.1583153343182804
carpenter,2.440070747299142,0.18215908510713125,0.06075629024715902
cashier,-0.8559089946642178,0.016844120362448495,-0.010094044107782914
ceo,0.43004330637254756,-0.000962850817921339,-0.029232134946720383
cleaner,-0.7432000344871685,-0.03997957194796202,-0.0516212352948275
cook,-0.10247746043759445,0.034382084468588724,-0.004433159374067332
designer,0.26058652481535655,-0.035761908745133957,-0.0070430113096795945
driver,1.041279251265827,-0.013270703354736894,-0.12427169946836697
lawyer,0.9932976488786418,-0.07147159198801534,0.0984039819121481
manager,0.5164869594163849,0.04148866055071815,-0.018981462759263896
receptionist,-2.1809762690112424,-0.024881557389640305,0.08886221673677228
salesperson,0.22157571511202157,-0.028295101899395846,-0.07263992429567252
secretary,-1.8960461643794022,-0.06471638259380383,0.013274269893133996
teacher,-0.6823860671193168,-0.017123112762597138,-0.10129542155091206
