predictor,unique_r2,relative_r2
profession_embedding_1,0.029427413287678283,0.41244718933001245
C(syntactic_role),0.01295859278541811,0.18162436228317086
log_frequency,0.010312929935346715,0.14454342024591482
profession_embedding_5,0.005305991311796099,0.07436743358194181
profession_embedding_3,0.0035823898965891,0.05020987164206784
C(tense),0.0034350113818990557,0.0481442516177284
profession_embedding_4,0.0020867191643445526,0.02924692856423624
C(semantic_role),0.0020073104622914117,0.028133956260147384
"C(valence, Treatment(reference='-val'))",0.0015795509985050415,0.022138587696037982
profession_embedding_2,0.0005743198538615824,0.008049521960559716
"C(dominance, Treatment(reference='-dom'))",7.808908024020678e-05,0.0010944768181824847
