profession,Group,C(syntactic_role)[T.subject]
accountant,0.47525179155176817,0.040610919437258905
carpenter,2.0534152862798205,-0.1814280312760383
cashier,-0.23082104620297147,-0.012907436708232656
ceo,-0.7157235191551469,-0.09735839521181675
cleaner,-0.02502460584025022,-0.18606680048911226
cook,-0.33812722243121446,-0.06732693895792313
designer,-0.11217652163463934,0.11645700382673918
driver,1.3848130113444819,0.14864839593881518
lawyer,0.3829521300241734,-0.04643875504875332
manager,0.6192095657318121,0.43660128574433854
receptionist,-1.600070570459237,-0.15599863928740293
salesperson,-0.2555971260971611,0.2092538764563636
secretary,-0.9061910608162881,-0.19358250428936344
teacher,-0.7319101123857507,-0.010463980140410365
