predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
"male_perc:C(dominance, Treatment(reference='-dom'))",0.09823254719294879,0.008762023456450349,0.1816728516368731,500,0,0.5407112086801806
male_perc:C(syntactic_role),0.09732828541416681,0.00869561854729787,0.1800004953693025,500,0,0.5407112086801806
male_perc:C(semantic_role),0.08367034726074367,0.00822825849882232,0.1547412850289792,500,0,0.5407112086801806
"male_perc:C(valence, Treatment(reference='-val'))",0.07569273896351318,0.007906603531350703,0.1399873680227033,500,0,0.5407112086801806
male_perc,0.07046236001863108,0.007690641170382885,0.13031422113594116,500,0,0.5407112086801806
male_perc:C(tense),0.06829226055647089,0.007508803608414461,0.12630080431135343,500,0,0.5407112086801806
C(syntactic_role):C(tense),0.013699795086619426,0.0006862387536234745,0.025336621225328745,500,0,0.5407112086801806
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.007827890995289362,0.0004964028582401036,0.014477027421710793,500,0,0.5407112086801806
C(semantic_role):C(syntactic_role),0.005774061933828797,0.0004373655912758878,0.010678642944951477,500,0,0.5407112086801806
"C(tense):C(dominance, Treatment(reference='-dom'))",0.005722149053410178,0.0003564869382166577,0.01058263442952726,500,0,0.5407112086801806
C(syntactic_role),0.0057182249110884235,0.00044815586020045605,0.010575377057646005,500,0,0.5407112086801806
C(tense),0.0055237861530492574,0.00035555577133804895,0.010215778893380517,500,0,0.5407112086801806
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0012238871429181841,7.189562971982459e-05,0.002263476553233591,500,0,0.5407112086801806
"C(valence, Treatment(reference='-val'))",0.001057134586069601,7.093453039770091e-05,0.0019550816944408377,500,0,0.5407112086801806
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.00048573941143151343,8.053807881567548e-06,0.0008983342746253631,500,0,0.5407112086801806
