predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
C(tense):C(syntactic_role),0.0019997765977273155,0.00011666224118041997,0.10546907093252061,500,0,0.01896078708237392,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.001807500602574555,8.102251276358433e-05,0.09532835291710122,500,0,0.01896078708237392,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.001694142642983757,0.00010977176425664858,0.08934980576616694,500,0,0.01896078708237392,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0014277730262434935,9.429470574083416e-05,0.07530135853752407,500,0,0.01896078708237392,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.001162153113363442,7.343292023778395e-05,0.06129245101031632,500,0,0.01896078708237392,OLS fixed-effect R2
C(tense):C(semantic_role),0.0011405562523232487,6.915326656619037e-05,0.060153423345147825,500,0,0.01896078708237392,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0010394325501213257,8.266271574308168e-05,0.05482011614842664,500,0,0.01896078708237392,OLS fixed-effect R2
C(tense):lex_emb_norm,0.0008941112293259425,7.706580467514078e-05,0.04715580769097474,500,0,0.01896078708237392,OLS fixed-effect R2
C(syntactic_role),0.0008847352382145004,7.921237741274036e-05,0.04666131391966088,500,0,0.01896078708237392,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0008521569493171912,7.767785866534466e-05,0.044943121064281256,500,0,0.01896078708237392,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.0008199935405250713,7.405109977038131e-05,0.043246809162650376,500,0,0.01896078708237392,OLS fixed-effect R2
C(tense),0.0007936010272230838,6.974749099849786e-05,0.041854856751216876,500,0,0.01896078708237392,OLS fixed-effect R2
lex_emb_norm,0.0007518148167148308,7.436643312869868e-05,0.039651034181683475,500,0,0.01896078708237392,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0006859769159808515,7.110382939015828e-05,0.03617871520842827,500,0,0.01896078708237392,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.0006098226710706316,6.7472630603913e-05,0.032162307842037156,500,0,0.01896078708237392,OLS fixed-effect R2
C(syntactic_role):log_frequency,0.0005379725190145912,1.8420523533268233e-08,0.028372900169038564,500,0,0.01896078708237392,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0005204928005360883,4.340601265817133e-05,0.02745101235907775,500,0,0.01896078708237392,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.000470719238149222,4.205576547032328e-05,0.02482593344380761,500,0,0.01896078708237392,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",0.0004534227662324766,4.111052642710927e-05,0.02391371013569271,500,0,0.01896078708237392,OLS fixed-effect R2
C(tense):log_frequency,0.0001994840296523377,1.842180689417684e-08,0.01052087283010416,500,0,0.01896078708237392,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",9.906578933756927e-05,6.807612485603728e-06,0.005224771994284009,500,0,0.01896078708237392,OLS fixed-effect R2
C(semantic_role),5.049504647243408e-05,4.4928742601044705e-06,0.002663130293751077,500,0,0.01896078708237392,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",3.60627560942175e-05,3.131212485619365e-06,0.0019019651419292444,500,0,0.01896078708237392,OLS fixed-effect R2
C(semantic_role):log_frequency,1.0478193569479988e-05,1.495963753693557e-08,0.0005526243991854426,500,0,0.01896078708237392,OLS fixed-effect R2
log_frequency:lex_emb_norm,9.058629342464153e-06,4.3776297840795793e-07,0.00047775597622132037,500,0,0.01896078708237392,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",6.8448768476205845e-06,1.3724113184473898e-08,0.00036100172518595654,500,0,0.01896078708237392,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",3.0605233025151614e-06,1.7776156267976045e-08,0.00016141330469135668,500,0,0.01896078708237392,OLS fixed-effect R2
log_frequency,8.27401136624939e-08,2.0207577889382535e-08,4.36374889412738e-06,500,0,0.01896078708237392,OLS fixed-effect R2
