,Group
CEO,-0.4852144636253428
accountant,-0.2169850779878241
administrator,-0.853012711715642
agronomist,0.23131000574363264
binman,0.39659238593889945
bodyguard,1.0983444105546745
bookbinder,-0.152625919081554
builder,1.382939344653109
cashier,-1.6781052080563224
chauffeur,1.6010848849528376
colonel,1.5962370387795122
doctor,-0.26547034011401305
electrician,1.3235383011698127
farmer,1.3451979821279871
farmhand,0.538497485478785
fisherman,2.1723257435608154
hawker,0.28051686145760174
housekeeper,-2.2688605686404153
manager,-0.5895339998001162
midwife,-3.503162070505905
molder,-0.8238843277997998
paralegal,-1.4781125169337255
programmer,0.1774934622475324
salesperson,-0.7200183514850855
scientist,-0.42862459220996546
scrivener,0.9688022539413137
sergeant,0.5952874690534815
soldier,1.148054122505569
solicitor,-0.3640038961389266
teacher,-1.7121986078072238
tradesperson,-0.1096781564223033
welder,0.7932690527702788
