target_model,model_name,runs,mean_aic,mean_bic,mean_R2m,mean_R2c,converged_rate,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,1,17465.498063443694,18015.543647926213,0.04975629175337177,0.9213557422778159,1.0,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_lex_emb_norm,1,17465.49833002244,18015.54391450496,0.055307395862650065,0.9218183898083805,1.0,0.008932785908453913,0.04644509657281009,0.0041562807725563965,0.004535069506497823
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence,1,17465.53713099443,18015.58271547695,0.05213126466470443,0.9215438970068701,1.0,0.00893251452431405,0.046443844302288526,0.004152571326888066,0.004534664547082097
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__log_frequency_lex_emb_norm,1,17465.5399782382,18015.58556272072,0.05144453269904993,0.921894889261053,1.0,0.008930599794735813,0.04648634432454,0.004152673279298972,0.004535803556444715
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_lex_emb_norm,1,17465.559185893304,18015.604770375823,0.05642637685855108,0.9219321347549039,1.0,0.008932791378577823,0.04656502051914015,0.004153215164924222,0.004534833530562372
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_semantic_role_lex_emb_norm,1,17465.72676783768,18015.7723523202,0.06495706653778263,0.9228152702350103,1.0,0.009013332578136487,0.046444350531545685,0.00415664304522293,0.004536073909358875
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance,1,17466.1652961637,17985.652792619414,0.05209541238829005,0.9214873359355347,1.0,0.008930160957832924,0.04644176972939779,0.00415223539971668,0.004534684642542972
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_log_frequency,1,17466.39650718114,18016.44209166366,0.035043869006617,0.9208653676324743,1.0,0.008953178938579501,0.04650545157000898,0.004316447202005198,0.004540717106993816
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_semantic_role_log_frequency,1,17466.787458642415,18016.833043124934,0.09264137943513012,0.9258112732217726,1.0,0.00935926556873663,0.04647550194773589,0.004171249560880209,0.004539589868798278
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,1,17467.478237672156,18025.163344161378,0.05213143681964019,0.9215443845807111,1.0,0.008932533402420275,0.046443844501704155,0.00415257381850389,0.004534662513126213
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__full,1,17467.478237672156,18025.163344161378,0.05213143681964019,0.9215443845807111,1.0,0.008932533402420275,0.046443844501704155,0.00415257381850389,0.004534662513126213
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_dominance_lex_emb_norm,1,17468.742649635737,18018.788234118256,0.0397245274971435,0.9220816959994796,1.0,0.008963520108225306,0.04650289437815723,0.004161352742071889,0.005176259656665328
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_syntactic_role,1,17470.237336533697,18020.282921016216,0.052113830706031115,0.9215102220771048,1.0,0.008931062569831746,0.04644295623044714,0.004152482514827334,0.004534918548525189
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_dominance_log_frequency,1,17470.719156381005,18020.764740863524,0.03383314138642406,0.9225938544025188,1.0,0.008987472038850697,0.04650495795865786,0.004164285581764302,0.00560030803333133
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_valence,1,17478.88842925051,18028.93401373303,0.05207091521454129,0.9214633840548986,1.0,0.008929816030393016,0.046441369180024436,0.004151840590964197,0.004534109670981356
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_lex_emb_norm,1,17479.564779182518,17999.05227563823,0.05202485252518566,0.9214199013550435,1.0,0.008929484214237114,0.046440586523782766,0.004148831336196964,0.004533245696464421
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_log_frequency,1,17484.131272657367,18003.61876911308,0.051995299265182524,0.9214025418672533,1.0,0.00892964751968981,0.04643140097445595,0.004146376484329053,0.004533068920124142
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,1,17484.26869748131,18034.31428196383,0.05203514448019673,0.9214479596755998,1.0,0.008930760529791831,0.04643988596270758,0.004151790447471096,0.004533614134866329
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_semantic_role,1,17489.90999173539,18009.3974881911,0.0519365463843273,0.9214202824444898,1.0,0.0089338004484777,0.0464699741491853,0.004149131614727781,0.004531956042237779
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_valence,1,17524.059617874038,18043.54711432975,0.05181082588262246,0.921169121423724,1.0,0.00892058837241409,0.04644637323706733,0.004145214739579555,0.004525875699345857
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_dominance,1,17577.328949718503,18127.374534201022,0.051553104914366724,0.9209724148603808,1.0,0.008919249113436794,0.04645649092818869,0.004141948876029127,0.004521900169324351
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role,1,17616.950995068997,18136.43849152471,0.05130981923460885,0.9207203103194709,1.0,0.008915591661691306,0.0464209564550473,0.004139410908423749,0.004517485716691155
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance,1,17671.498233195278,18221.543817677797,0.05107829287453578,0.9204642993397627,1.0,0.008907804980775692,0.0464392783691427,0.004134072983715998,0.00451061716211131
