target_model,best_model_name,best_model_aic,term,coef,std_err,z,p_value,ci_low,ci_high,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,Intercept,2.6033747077857536,3.926721250547721,0.6629894361415699,0.5073373197806998,-5.09285752061586,10.299606936187368,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.past perfect],-0.0073809094797987,0.0771500804626962,-0.0956694981461174,0.9237830667047108,-0.1585922885910506,0.1438304696314532,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present continuous],-0.1814955390314498,0.0771500804626963,-2.352499672624538,0.0186477061840717,-0.3327069181427019,-0.0302841599201978,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present perfect],-0.3606600086955934,0.0771500804626965,-4.674784608552406,2.942622924418371e-06,-0.5118713878068459,-0.2094486295843409,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple future],-0.3435550051038744,0.0771500804626967,-4.453073840538488,8.464962692860542e-06,-0.4947663842151272,-0.1923436259926215,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple past],-0.1390405978615574,0.0771500804626959,-1.8022093694223325,0.0715124711437114,-0.2902519769728088,0.0121707812496938,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(semantic_role)[T.patient],0.1848521822309654,0.1148392048334324,1.6096609385190597,0.1074718968550982,-0.0402285232557803,0.4099328877177112,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(syntactic_role)[T.subject],-0.45768475099892,0.2364250052057871,-1.93585594129752,0.0528853471767468,-0.9210692462469576,0.0056997442491174,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(valence)[T.-val],0.2148647683963532,0.085278740057331,2.5195584298255858,0.0117502136629184,0.0477215092370312,0.3820080275556752,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(dominance)[T.-dom],0.0896068086577121,0.0880829721895511,1.017300011912425,0.3090107309477051,-0.0830326444850512,0.2622462618004756,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.past perfect]:C(semantic_role)[T.patient],-0.0206172943115288,0.0233973241435892,-0.8811817191145735,0.3782194721817381,-0.0664752069675733,0.0252406183445155,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present continuous]:C(semantic_role)[T.patient],-0.0145473480224668,0.0233973241435892,-0.6217526386004578,0.5341045331929031,-0.0604052606785112,0.0313105646335775,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present perfect]:C(semantic_role)[T.patient],-0.0240692138671937,0.0233973241435892,-1.0287165198670192,0.3036129047408938,-0.0699271265232381,0.0217886987888506,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple future]:C(semantic_role)[T.patient],0.0314250946044859,0.0233973241435892,1.3431063488982884,0.1792375400707481,-0.0144328180515584,0.0772830072605303,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple past]:C(semantic_role)[T.patient],0.0850212097167911,0.0233973241435892,3.633800566039792,0.0002792767641399,0.0391632970607467,0.1308791223728356,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.2161212921142602,0.0233973241435892,-9.237008932642244,2.534839120295862e-20,-0.2619792047703047,-0.1702633794582157,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.0612911224365262,0.0233973241435892,-2.6195782928160027,0.0088038561093908,-0.1071490350925707,-0.0154332097804818,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0375816345214871,0.0233973241435892,-1.606236435023458,0.1082219707347183,-0.0834395471775316,0.0082762781345573,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple future]:C(syntactic_role)[T.subject],-0.1931583404541047,0.0233973241435892,-8.255573982250821,1.5117394760424664e-16,-0.2390162531101491,-0.1473004277980602,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple past]:C(syntactic_role)[T.subject],-0.0144302368164086,0.0233973241435892,-0.6167473138317167,0.5374014081488955,-0.0602881494724531,0.0314276758396358,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.past perfect]:C(valence)[T.-val],0.1118640899658146,0.0233973241435892,4.781063393373768,1.7437036095724782e-06,0.0660061773097702,0.1577220026218589,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present continuous]:C(valence)[T.-val],0.0243808746337828,0.0233973241435892,1.042036879266946,0.2973945810250354,-0.0214770380222614,0.0702387872898271,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present perfect]:C(valence)[T.-val],0.1333770751953061,0.0233973241435892,5.7005268797736015,1.1943769713394104e-08,0.0875191625392618,0.1792349878513504,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple future]:C(valence)[T.-val],0.0164531707763608,0.0233973241435892,0.7032073700132474,0.4819265269459453,-0.0294047418796834,0.0623110834324051,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple past]:C(valence)[T.-val],0.1216896057128847,0.0233973241435892,5.201005250261803,1.9821350226848705e-07,0.0758316930568404,0.167547518368929,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.past perfect]:C(dominance)[T.-dom],-0.0220607757568406,0.0233973241435892,-0.9428760152850711,0.3457443242946409,-0.067918688412885,0.0237971368992037,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present continuous]:C(dominance)[T.-dom],-0.0399692535400442,0.0233973241435892,-1.7082831051428422,0.0875838246202971,-0.0858271661960886,0.0058886591160001,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.present perfect]:C(dominance)[T.-dom],-0.0586692810058648,0.0233973241435892,-2.5075209731596546,0.0121581366071435,-0.1045271936619092,-0.0128113683498204,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple future]:C(dominance)[T.-dom],-0.0491771697998099,0.0233973241435892,-2.101828803072089,0.0355682750675595,-0.0950350824558543,-0.0033192571437654,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(tense)[T.simple past]:C(dominance)[T.-dom],-0.0182762145996145,0.0233973241435892,-0.7811241357111377,0.4347294877260692,-0.0641341272556589,0.0275816980564299,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(semantic_role)[T.patient]:C(syntactic_role)[T.subject],-0.0294714609781895,0.0135084513926182,-2.1817053725562103,0.0291312841641498,-0.0559475391946312,-0.0029953827617479,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0494787851969409,0.0135084513926182,3.6628021790846415,0.0002494711943153,0.0230027069804993,0.0759548634133826,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.143128077189126,0.0135084513926182,-10.59544673398606,3.128436969512442e-26,-0.1696041554055676,-0.1166519989726843,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.0032782236735024,0.0135084513926182,-0.2426794588233761,0.8082537213210427,-0.0297543018899441,0.0231978545429391,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0585745493570971,0.0135084513926182,4.336140957586416,1.4500597525680612e-05,0.0320984711406554,0.0850506275735387,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,C(valence)[T.-val]:C(dominance)[T.-dom],-0.1945512135823561,0.0135084513926182,-14.402184819547124,5.013328239519836e-47,-0.2210272917987977,-0.1680751353659144,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,17465.498063443694,log_frequency,-0.2658208388376945,0.5396414163938489,-0.4925879125698708,0.6223037905207631,-1.323498579535821,0.7918569018604321,0.008932597192536718,0.04647349767898976,0.0041527294508649035,0.004534700116350773
