,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5914273450883873,0.007005668741574333,-0.10208566030259497
carpenter,2.755487561337584,0.08280553165137951,-0.15950191055094287
cashier,-1.0896922145948962,0.03998796879237903,-0.009139989098672537
ceo,0.7343009310864735,-0.00704854126757968,-0.08738215216592975
cleaner,-0.9361834138481284,-0.04806820809521768,0.33857549907093826
cook,-0.28125097542076777,0.030824680286284264,0.35424984936426535
designer,0.14134542046893847,0.005177641153259,-0.00371277277100308
driver,1.1257123550077142,-0.014063015215229215,-0.24302622990353556
lawyer,1.0376187110949258,0.03665516803018599,0.03991030784890341
manager,0.40290481313232185,-0.005672888846832302,-0.20136128621350619
receptionist,-1.8217396519648963,-0.04418220941867734,0.09382831418957498
salesperson,0.3323776430559916,-0.008140951126361737,-0.0942677612779097
secretary,-1.9980292716377523,-0.018857423876271998,0.028452660043167204
teacher,-0.9942792528275596,-0.05642342080931207,0.04546113176858495
