,Group
CEO,-0.119075610618632
accountant,-0.27912157016842687
administrator,-0.7815708938423301
agronomist,-0.5445970691177969
bodyguard,1.1293440757943274
bookbinder,0.7449214577498994
builder,1.569466824010846
cashier,-1.6425821454905312
chauffeur,1.832304856297365
colonel,1.4882878009045692
doctor,1.0211794916993406
electrician,1.3198063865632796
farmer,1.3301741281795731
farmhand,0.9030784168371846
fisherman,2.2502168850627626
hairdresser,-0.7356363592074435
hawker,0.06853358680288937
housekeeper,-2.0271263897144913
manager,0.6278260745156475
midwife,-3.2789456299798174
molder,-0.18559083957269618
nurse,-2.7635391179411064
paralegal,-1.8306871212010585
programmer,0.2006750161742832
salesperson,-0.41595768902465924
scientist,-0.07459650620493002
scrivener,0.421751584933129
secretary,-2.485734531858679
sergeant,0.47233431590377273
soldier,1.3074004387497953
solicitor,-0.40680324348857816
teacher,-0.8073806254923561
tradesperson,0.6275908006838635
welder,1.0640532013218138
