predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(syntactic_role),0.28303121218469407,0.012567484825636566,0.48708935693041444,500,0,0.5810663036620771
male_perc,0.27849936696746497,0.01256748482563656,0.4792901691463907,500,0,0.5810663036620771
C(syntactic_role):C(tense),0.005246728743728878,0.0002728396129129951,0.009029483745077303,500,0,0.5810663036620771
C(semantic_role):C(syntactic_role),0.003650283073491279,0.00014915326923916177,0.006282042256599557,500,0,0.5810663036620771
C(semantic_role):C(tense),0.0029841124581833378,0.00016607932373128426,0.005135579949097802,500,0,0.5810663036620771
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0024983987267914827,0.00015379449463042037,0.004299679246663807,500,0,0.5810663036620771
C(tense),0.002418014353390963,0.00016225059222629363,0.0041613398301567585,500,0,0.5810663036620771
C(syntactic_role),0.0017497768050369763,0.00014413637953232089,0.0030113203846261413,500,0,0.5810663036620771
"C(dominance, Treatment(reference='-dom'))",0.0006083302529062893,1.121822669867364e-17,0.0010469205477453873,500,0,0.5810663036620771
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00036917627133529487,8.356484561087443e-06,0.000635342763826814,500,0,0.5810663036620771
C(semantic_role),1.0903825056961968e-05,8.545681874815307e-07,1.87651994070941e-05,500,0,0.5810663036620771
