feature,coefficient,nonzero
Intercept,0.0,False
C(semantic_role)[T.patient],0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]",-0.03148349404125886,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.030273534462366355,True
"C(semantic_role)[T.patient]:C(valence, Treatment(reference='-val'))[T.+val]",0.01558137891747615,True
"C(semantic_role)[T.patient]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.0,False
male_perc,1.044976101235103,True
male_perc:C(semantic_role)[T.patient],-0.0,False
"male_perc:C(valence, Treatment(reference='-val'))[T.+val]",-0.025504276591708695,True
"male_perc:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.012717126199202547,True
