profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.6169298817816773,0.017137339630661247,-0.03736963042607413
carpenter,2.451087515477853,0.1697475854172429,-0.021669989549738516
cashier,-0.9268209282837063,-0.03385460913729013,0.17686598529119057
ceo,0.37351562754966033,0.08944008612122571,0.038694819972226714
cleaner,-0.6076994751033941,-0.097000504888689,-0.15591309130142642
cook,-0.15131204590745975,0.016000449424471885,0.1398553590762339
designer,-0.02551700022738949,0.038064492191010206,0.1681742982296757
driver,1.2052719889639785,0.02388985065496318,-0.11958525939488561
lawyer,1.0194868499584937,-0.02494764812688267,-0.34225763328613756
manager,0.38059982938427955,0.007192149006428048,0.022016664025687593
receptionist,-1.927352677755369,-0.05843946007921236,0.009918026796589876
salesperson,0.04341246793122498,-0.008042256701429445,0.0727673757526287
secretary,-1.672110809649756,-0.07896303184477949,-0.03041538681773289
teacher,-0.7794912240740681,-0.06022444166538805,0.07891846163042272
