predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(syntactic_role),0.28303121218469407,0.012567484825636561,0.48708935693041433,500,0,0.5810663036620772
male_perc,0.27849936696746497,0.01256748482563656,0.4792901691463906,500,0,0.5810663036620772
C(syntactic_role):C(tense),0.004921229184473488,0.00027116624463026704,0.008469307467079454,500,0,0.5810663036620772
C(semantic_role):C(syntactic_role),0.00361923063886958,0.0001483118186579226,0.006228601824025863,500,0,0.5810663036620772
C(semantic_role):C(tense),0.002969829450025503,0.00016583871524204083,0.005110999263437974,500,0,0.5810663036620772
"C(valence, Treatment(reference='-val')):C(syntactic_role)",0.0026904878732987737,0.0001580742305333908,0.004630259673194617,500,0,0.5810663036620772
C(tense),0.0025750282724423448,0.00016499829010065755,0.004431556702244893,500,0,0.5810663036620772
C(syntactic_role),0.0017804746437218011,0.0001450180756609011,0.003064150566812505,500,0,0.5810663036620772
"C(dominance, Treatment(reference='-dom'))",0.0006083302529063805,5.506437413809099e-18,0.001046920547745544,500,0,0.5810663036620772
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0003602103691267029,8.348645835315281e-06,0.0006199126792528405,500,0,0.5810663036620772
C(semantic_role),1.090382505699372e-05,8.545681874826336e-07,1.876519940714874e-05,500,0,0.5810663036620772
