target_model,best_model_name,best_model_aic,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,CEO,0.6192400266034404,-0.0140739270595272,-0.3670049233870078,-0.0500775735014675,-0.1006189785729967
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,accountant,-0.192715738496166,0.0339914786884509,-0.0276452277928863,0.0168878902891693,0.0055441028043331
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,administrator,-0.3035270909619066,0.0758457920989904,0.1368729523655426,0.0229519659929006,-0.0118785605975049
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,agronomist,0.3887888095271837,0.1801118921434764,0.1953420756859868,0.0604350766341764,0.0530015877106713
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,bodyguard,0.9486048420156986,0.0311246421729849,-0.086991096283754,-0.0141818736681153,0.0060996028459689
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,bookbinder,0.8414960607519268,0.0098197041609893,-0.5065960908539533,-0.0197374814562151,0.0941242839997073
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,builder,1.3644734908297789,-0.0027197367458438,-0.5573620764691104,-0.0590283545343126,-0.0199616548222267
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,cashier,-1.6453102204553578,-0.0637613607570777,0.0151160714995471,0.0157432217471142,0.0357455647957277
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,chauffeur,1.949212631009795,0.1505575673968114,-0.0666610934168279,0.0108197320830944,-0.076340647429559
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,colonel,1.9454181091993816,0.227488547820877,0.2475269443011592,0.0627799574164581,-0.091108691573809
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,doctor,0.3300030546557024,0.012909217897862,0.1095705129576433,0.0313544928022803,0.0468215135119054
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,electrician,1.3894650384522174,0.0871516974931296,-0.1372574076699708,-0.0270155583769947,-0.1209178124329951
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,farmer,2.343091015076622,0.1989550189323725,-0.0803512867967748,0.0049410773072376,-0.0518410116215001
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,farmhand,0.979511180398469,0.1278968321072371,-0.0372512727892263,-0.0245970743440724,-0.103911306497091
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,fisherman,2.9486058449696446,0.2080147659098191,0.1437471393139455,0.0244696010909652,-0.0680658882009748
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,hairdresser,-1.4899453705207375,0.0249584897226379,0.3252074391144713,0.0621000066560288,0.0242458200164365
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,hawker,-0.1334020067452152,-0.000416514995993,0.2440929286512782,0.0309064762001171,0.0185729510794138
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,housekeeper,-2.7174586913723178,-0.2248825598618577,0.0428443816350321,-0.039926763044844,-0.0183359147720139
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,manager,-0.2776748062031324,0.1534482548252386,-0.0852853967345922,0.0332579712703962,0.0057997806367262
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,midwife,-5.5536905952493445,-0.325675389026679,0.3708005237756139,-0.0109315630861732,-0.0146952761750981
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,molder,-0.7148572980738226,-0.0982048132158244,0.3603300744201903,0.033883717135285,0.0624584708814578
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,nurse,-3.298090341049884,-0.231709249066289,0.185246041891163,-0.0310760282220924,-0.0060222729007412
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,paralegal,-1.5797916500998552,-0.1713334830002205,-0.1461836287805603,-0.0273507387746354,0.0233367952496518
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,programmer,0.5812635589315029,0.0167004099232001,-0.1895276254763655,-0.0362950966976542,-0.1054045653126816
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,salesperson,-0.3061902402665057,-0.0516069147065144,-0.0809305952229566,-0.0270183282987999,-0.0166813199457993
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,scientist,0.2603395770826255,-0.0196062254565657,0.0451790528611598,-0.002584683667713,-0.0419964443186722
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,scrivener,1.1015128918936197,-0.1479989437725732,0.013105548891369,-0.0536245330413765,0.0938604458217884
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,secretary,-2.8732871727528604,-0.2175007297188785,0.2275640027470121,0.0457283158052565,0.3141761689497878
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,sergeant,1.0737909843818492,0.0559678651968033,0.1034983691354098,0.0001695751689652,0.0119013069683511
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,soldier,1.757165141093921,0.0300468945094141,0.2021295647116601,0.0046653352870483,0.0189410934682174
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,solicitor,0.2908250945781305,-0.0167507062690623,-0.4343884127174732,-0.0446907486334717,0.009327887218716
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,teacher,-1.3146234371282062,-0.1107087050935701,0.1522602129196698,0.0135751454360965,0.0831543334602314
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,tradesperson,0.4571145790634581,0.0345762771110384,-0.1883255499534413,-0.0095123436788383,-0.0195829950776957
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,17158.934796851536,welder,0.830642729317024,0.0373839106644105,-0.128672152552998,0.0029791847045298,-0.0397483691757745
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,CEO,0.4330964625439394,0.0621380385199466,-0.1306692873543094,-0.0270085657626332,0.0118077799024789
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,accountant,-0.3351659396397869,-0.0119539405194771,0.1508975403074544,0.0549093568658123,-0.0243301015845627
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,administrator,-0.6637799913779792,0.0223838915296607,0.2232781382189528,-0.0469026841146927,0.0271940550584567
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,agronomist,0.0370376924162772,0.0105043967441489,0.0292136257780958,0.0274599377780892,0.0155625697512607
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,bodyguard,1.7990415964701765,0.0188535318479528,-0.6588854288486342,-0.0508673842507861,-0.0267327443466345
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,bookbinder,0.2074399404286198,-0.0171570080943205,-0.4419241105208292,-0.0818596998246419,0.0307814847330106
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,builder,1.3324336092527014,0.0780537554129573,-0.2179797448484622,-0.0712092873586227,-0.0522880346579599
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,cashier,-1.1024223097804215,-0.1036131151501074,0.2064642916187267,0.0085226224849941,0.0207496374282364
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,chauffeur,2.382494685901181,0.1148118661798114,-0.7707377061893493,-0.0503300371767348,-0.0362219885880118
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,colonel,1.2888703295336197,0.0803958591369345,-0.1695655980757499,0.0612470323421146,-0.0202783203507896
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,doctor,1.040230126962261,-0.0162396225895606,-0.0842232505099174,-0.0038432585232502,-0.0242675133823322
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,electrician,1.6948931205093292,0.1332358601095766,-0.2870425749045173,0.0460253160218866,-0.1461973767153697
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,farmer,1.411537627026536,0.0648925392816682,-0.2097715640932094,-0.0444446039346258,-0.0068311435718219
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,farmhand,1.4095226226452664,0.066532397380099,-0.583025278869505,-0.0042384168698306,-0.0814961548270841
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,fisherman,2.654819094286961,0.1449080136082935,-0.2200506484116615,0.0260493382956256,-0.0679618902689237
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,hairdresser,-2.538994556580543,-0.1020879268389049,0.8421067145386312,0.0745920420709108,0.0373250742401063
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,hawker,0.9063440741276017,-0.0358730744233992,0.0930033504917367,-0.0848631962304158,-0.0011300279931469
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,housekeeper,-3.6610908432855913,-0.1077477495479667,0.881722316982001,0.0897013577606336,0.0987222267476659
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,manager,0.9249558368921768,0.1045885755970181,-0.1653342792393963,-0.0575609645173856,-0.0415008944909748
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,midwife,-3.5693527055239174,-0.0406542162817869,0.0123975451914969,0.0787434690261065,0.0642344014535545
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,molder,0.3070019830322478,0.0139424101438012,0.0613566377374413,-0.0327086601861333,-0.0083700755798826
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,nurse,-2.9612458576282985,-0.1320180848604068,0.0860552439224941,0.0796964048023534,0.0542574586711151
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,paralegal,-1.7502880580853164,-0.0390920662926069,0.3461503541851837,0.0177097554814305,-0.0007876715491868
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,programmer,0.0429109966947893,-0.1032010800314023,0.2247591885543739,0.0777561696220825,-0.0130928844915493
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,10400.470531099185,salesperson,-0.3313587861095505,-0.0190209811226139,0.0241378755399966,0.0054857362887257,0.0087588843885293
