target_model,model_name,runs,mean_aic,mean_bic,mean_R2m,mean_R2c,converged_rate,random_effect_variance_tense,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes,1,14742.11766481481,15612.234233837355,0.05125803500859114,0.9271765089066218,1.0,0.010733110699387377,0.013746392795901065,0.04041795128952296,0.00270745523017071,0.013226682424233539
EleutherAI_pythia-12b-deduped,full_mixed_random_slopes__random_intercept_baseline,1,18830.942917995882,19285.25156907845,0.022881804803733467,0.94436424970896,1.0,,,,,
EleutherAI_pythia-12b-deduped,random_intercept_only,1,21281.47272269285,21304.573162578406,0.0,0.9352964436620292,1.0,,,,,
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes,1,9099.38330401,9969.499873032544,0.039922567281064116,0.9336070789978193,1.0,0.0035921429061633965,0.005500923525075646,0.09922307851936323,0.0037834846198617758,0.004188228672894581
EleutherAI_pythia-2.8b-deduped,full_mixed_random_slopes__random_intercept_baseline,1,14620.880165749171,15075.188816831738,0.024475634266164017,0.937277826567907,1.0,,,,,
EleutherAI_pythia-2.8b-deduped,random_intercept_only,1,17603.645804770378,17626.746244655933,8.926584012810904e-32,0.923493497701377,1.0,,,,,
EleutherAI_pythia-6.9b-deduped,full_mixed_random_slopes,1,15586.837956665113,16456.95452568766,0.06456795299265054,0.9228137553707791,0.0,0.014980293761063737,0.012070438337401504,0.06363921804367591,0.0024580202471363925,0.005614683783954044
EleutherAI_pythia-6.9b-deduped,full_mixed_random_slopes__random_intercept_baseline,1,20138.651598630473,20592.96024971304,0.022806358139033835,0.9338231495750794,1.0,,,,,
EleutherAI_pythia-6.9b-deduped,random_intercept_only,1,22468.058010469395,22491.15845035495,1.6794552846719318e-32,0.9224283919431995,1.0,,,,,
Qwen_Qwen3-4B-Base,full_mixed_random_slopes,1,18017.61974363681,18887.736312659355,0.03582188533691151,0.9106511794225501,1.0,0.009743138689469449,0.010272494991047942,0.058013906141521646,0.004566420789265685,0.00630708677926537
Qwen_Qwen3-4B-Base,full_mixed_random_slopes__random_intercept_baseline,1,20419.872918748035,20874.1815698306,0.03739676300884028,0.9191399866295772,1.0,,,,,
Qwen_Qwen3-4B-Base,random_intercept_only,1,24505.25658479528,24528.357024680834,8.028693120798546e-32,0.8948925038164428,1.0,,,,,
Qwen_Qwen3-8B-Base,full_mixed_random_slopes,1,20758.401616712305,21628.51818573485,0.039449115447014044,0.9106862889218027,1.0,0.015462148500369295,0.013372264461810342,0.04020461121191658,0.01822797853598503,0.009635938874301649
Qwen_Qwen3-8B-Base,full_mixed_random_slopes__random_intercept_baseline,1,23473.07510741797,23927.38375850054,0.06157664970707596,0.9084937598402064,1.0,,,,,
Qwen_Qwen3-8B-Base,random_intercept_only,1,27419.245529403648,27442.345969289203,7.515651643724758e-32,0.8823437628987933,1.0,,,,,
allenai_Olmo-3-1025-7B,full_mixed_random_slopes,1,14155.79032222784,15025.906891250384,0.04848308364008084,0.9267704031757679,1.0,0.006060408578803953,0.0027972475384906927,0.0359914039181982,0.008918020747265065,0.009617289138886652
allenai_Olmo-3-1025-7B,full_mixed_random_slopes__random_intercept_baseline,1,17985.5405604821,18439.849211564666,0.01904687825616089,0.9368991480745084,1.0,,,,,
