target_model,model_name,runs,mean_aic,mean_bic,mean_R2m,mean_R2c,converged_rate,random_effect_variance_tense,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
allenai_Olmo-3-1025-7B,random_intercept_only,1,21268.19441879919,21291.294858684745,1.8233329850053185e-32,0.9217509487577799,1.0,,,,,
allenai_Olmo-3-1125-32B,full_mixed_random_slopes,1,23585.179489662376,24455.296058684922,0.06219969711378574,0.9094556079743493,1.0,0.003225448216791579,0.010321871097550487,0.04969253166704581,0.012905476369965823,0.008973017355583597
allenai_Olmo-3-1125-32B,full_mixed_random_slopes__random_intercept_baseline,1,26198.44997735109,26652.758628433658,0.05512646154709219,0.9060495431299971,1.0,,,,,
allenai_Olmo-3-1125-32B,random_intercept_only,1,32521.03958965052,32544.140029536076,1.4736468642059887e-31,0.8597812474422962,1.0,,,,,
google_gemma-3-12b-pt,full_mixed_random_slopes,1,8560.562447251694,9430.679016274238,0.08706570455682114,0.9267860923213573,1.0,0.004965616272509441,0.0033303514142266405,0.024987119414975056,0.00938318275088584,0.00534361463280308
google_gemma-3-12b-pt,full_mixed_random_slopes__random_intercept_baseline,1,12285.02169360721,12739.330344689777,0.07027822220922557,0.9484712019710976,1.0,,,,,
google_gemma-3-12b-pt,random_intercept_only,1,14963.069639710244,14986.170079595799,8.348897882243755e-32,0.9391653846970318,1.0,,,,,
google_gemma-3-4b-pt,full_mixed_random_slopes,1,7517.861209022696,8387.97777804524,0.06184421768759819,0.9319402105668074,1.0,0.0026650114714601276,0.00563895253702856,0.03462831844294987,0.004477883512574655,0.0027929099104580437
google_gemma-3-4b-pt,full_mixed_random_slopes__random_intercept_baseline,1,11079.203171690315,11533.511822772882,0.09389464331258189,0.9466315184396352,1.0,,,,,
google_gemma-3-4b-pt,random_intercept_only,1,18014.25021166468,18037.350651550234,0.0,0.9177611627036206,1.0,,,,,
gpt2,full_mixed_random_slopes,1,2939.2859910921543,3809.4025601146996,0.10220312534988524,0.9522003548263535,1.0,0.004179424451430797,0.004316831598393137,0.05728234446206353,0.0024451986390144763,0.00333324767046843
gpt2,full_mixed_random_slopes__random_intercept_baseline,1,8396.426457321591,8850.735108404158,0.10022678902249492,0.9457966757131937,1.0,,,,,
gpt2,random_intercept_only,1,11808.513051792863,11831.613491678418,1.1162310589509227e-31,0.9329462134830444,1.0,,,,,
meta-llama_Llama-3.1-70B,full_mixed_random_slopes,1,20861.082915528707,21731.199484551253,0.028060634166475865,0.9091378907465208,1.0,0.04208595854938485,0.009683625857873001,0.04652364301918606,0.007182185305077604,0.006619577923567026
meta-llama_Llama-3.1-70B,full_mixed_random_slopes__random_intercept_baseline,1,23906.757519548264,24361.06617063083,0.027399560116380624,0.8857449379721034,1.0,,,,,
meta-llama_Llama-3.1-70B,random_intercept_only,1,26893.02400601504,26916.124445900594,2.0581379614457714e-31,0.8612900411664622,1.0,,,,,
meta-llama_Llama-3.1-8B,full_mixed_random_slopes,1,13108.542605749622,13978.659174772167,0.044637356342323214,0.9300051260840368,1.0,0.018060657382975884,0.00853566312893989,0.04586570247021093,0.00944641141285352,0.005568076312142083
meta-llama_Llama-3.1-8B,full_mixed_random_slopes__random_intercept_baseline,1,17061.263223704504,17515.57187478707,0.030158159392974934,0.9330260024611416,1.0,,,,,
meta-llama_Llama-3.1-8B,random_intercept_only,1,21479.49106002724,21502.591499912796,2.037489233901511e-32,0.9113958805298991,1.0,,,,,
mistralai_Mistral-7B-v0.3,full_mixed_random_slopes,1,12496.681542941544,13366.798111964088,0.023357439074022796,0.934870264948927,0.0,0.005651632291861084,0.004864746008276093,0.037219951932296894,0.013175427217519284,0.007016965967875575
mistralai_Mistral-7B-v0.3,full_mixed_random_slopes__random_intercept_baseline,1,15998.40800702537,16452.716658107936,0.04632116704656785,0.9352784671238682,1.0,,,,,
mistralai_Mistral-7B-v0.3,random_intercept_only,1,19135.168222308217,19158.268662193772,1.9015997442757036e-31,0.9204310231068756,1.0,,,,,
tiiuae_Falcon3-10B-Base,full_mixed_random_slopes,1,22236.793836270343,23106.91040529289,0.08513289227381068,0.9048204646218883,0.0,0.003442052045963389,0.005141981258151141,0.06157123261861987,0.012469508233048536,0.0035697138127699
tiiuae_Falcon3-10B-Base,full_mixed_random_slopes__random_intercept_baseline,1,24177.44985140729,24631.758502489858,0.1145799322567517,0.8975475753841647,1.0,,,,,
tiiuae_Falcon3-10B-Base,random_intercept_only,1,28060.799846272945,28083.9002861585,8.014472388427336e-32,0.8694722157571521,1.0,,,,,
tiiuae_Falcon3-3B-Base,full_mixed_random_slopes,1,4073.911093013099,4944.027662035644,0.12951426200166763,0.9455603050124116,1.0,0.0029308409182217912,0.0024354986414832345,0.02758788616237742,0.0032233910007425605,0.002481748939989071
tiiuae_Falcon3-3B-Base,full_mixed_random_slopes__random_intercept_baseline,1,6613.021450362954,7067.330101445522,0.09113126853675221,0.9538754801935786,1.0,,,,,
tiiuae_Falcon3-3B-Base,random_intercept_only,1,12710.597564668133,12733.698004553687,2.3958898171489207e-31,0.9323968429903482,1.0,,,,,
tiiuae_Falcon3-7B-Base,full_mixed_random_slopes,1,22320.937202620058,23191.053771642604,0.08271863431868735,0.8951047513743058,1.0,0.018845274653463407,0.008728581952712148,0.04659330497003918,0.011408575566959688,0.009423777852551852
tiiuae_Falcon3-7B-Base,full_mixed_random_slopes__random_intercept_baseline,1,24123.18566452348,24577.494315606047,0.1395120796047407,0.8775709440303838,1.0,,,,,
tiiuae_Falcon3-7B-Base,random_intercept_only,1,29621.706359334843,29644.806799220398,9.629066866172322e-32,0.8273176813661808,1.0,,,,,
