profession,Group,C(semantic_role)[T.patient]
accountant,0.46909328461543,0.05296439957972084
carpenter,1.9440538738985995,0.03750794152218197
cashier,-0.24280908095410927,0.011089693818137554
ceo,-0.7482885620769916,-0.032197134744895196
cleaner,-0.10746969817458972,-0.02105337490234923
cook,-0.357738248767089,-0.028088567427666813
designer,-0.0681305910374768,0.028304749232396835
driver,1.484842401970628,-0.05157572553824951
lawyer,0.3321732198589014,0.055226836564855705
manager,0.8218168742135359,0.031081754672477115
receptionist,-1.7060104052308247,0.05605522048556492
salesperson,-0.15854227362784276,0.014991963077981682
secretary,-0.9106704550855885,-0.18470091657942775
teacher,-0.7523203394863083,0.030393160240910936
