predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(tense),0.1929475512897106,0.01114368577340662,0.36357181640602193,500,0,0.5306999678826446
male_perc:C(syntactic_role),0.16662583726014524,0.010778935037038837,0.3139737089582635,500,0,0.5306999678826446
male_perc,0.161046494446636,0.010705770400427661,0.3034605317373012,500,0,0.5306999678826446
C(syntactic_role):C(tense),0.00459634493317551,6.234515720139695e-05,0.008660910516941872,500,0,0.5306999678826446
"C(tense):C(valence, Treatment(reference='-val'))",0.0010827751347424184,5.8691936687776325e-05,0.0020402773700221063,500,0,0.5306999678826446
C(semantic_role):C(syntactic_role),0.0007608801371643383,2.318056373459133e-05,0.0014337293823477187,500,0,0.5306999678826446
"C(tense):C(dominance, Treatment(reference='-dom'))",0.000692797979209338,4.759340308458116e-05,0.0013054419090572445,500,0,0.5306999678826446
C(semantic_role):C(tense),0.0006768675016531302,4.763032060220568e-05,0.0012754240486458973,500,0,0.5306999678826446
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0006262688489465196,2.26833933131691e-05,0.0011800808118477377,500,0,0.5306999678826446
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.0005622570868434225,3.322354986224375e-05,0.0010594632011882016,500,0,0.5306999678826446
C(tense),0.0004946564485697134,4.6020622861836445e-05,0.0009320830572936804,500,0,0.5306999678826446
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00040552816236724996,1.7626540653819136e-05,0.0007641382832284733,500,0,0.5306999678826446
"C(valence, Treatment(reference='-val'))",0.00016858457002006278,1.5481841460491464e-05,0.00031766455666592847,500,0,0.5306999678826446
"C(dominance, Treatment(reference='-dom'))",1.3124083462384917e-05,1.0749794334128397e-06,2.472976117701045e-05,500,0,0.5306999678826446
