,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.017093167686630408,-5.7221036022938437e-05,-0.00043093971741957636,-0.0011508977859932153,-0.000983407910744113,-0.0010945409845280738,-0.0001436930287260972,-0.0015592008991323254,0.00030107803433606067,-0.00012748811282150763,0.0003864588320836878,-0.00036738921245828705,-0.003743970877177728,-8.418277096646512e-05,0.0009348249241128746
C(profession)[T.carpenter],-5.7221036022938437e-05,0.018964056380721378,-0.0003782132950232199,-0.0005496188562880199,-0.0005097433450242517,-0.0005362015899133044,-0.0003098264235531636,-0.0006468264956363392,-0.00020393659881370998,-0.00030596840344329656,-0.00018360938227203892,-0.0003630833722558875,-0.0011669702938339036,-0.0002956583913046188,0.000214908780617676
C(profession)[T.cashier],-0.00043093971741957636,-0.0003782132950232199,0.018377273984538593,-0.0009518225002695366,-0.0008621553480371129,-0.0009216513995510494,-0.00041260672876500785,-0.0011704111006255297,-0.00017449469624346666,-0.0004039312869815704,-0.0001287853482671534,-0.0005323644140059771,-0.0023400465901202783,-0.00038074739795685325,0.0004825184075133928
C(profession)[T.ceo],-0.0011508977859932153,-0.0005496188562880199,-0.0009518225002695366,0.016056005357296333,-0.001409306333607584,-0.0015214796728436474,-0.0005617312678721037,-0.001990489054592367,-0.00011279690801622025,-0.0005453746652155003,-2.661689999251596e-05,-0.0007875213684058303,-0.004195709656761259,-0.0005016639620309566,0.000908966029185371
C(profession)[T.cleaner],-0.000983407910744113,-0.0005097433450242517,-0.0008621553480371129,-0.001409306333607584,0.016880371890814653,-0.0012312090659788173,-0.00047096563782049743,-0.001602724453107167,-0.00011535223436301024,-0.0004580091175365583,-4.7086651008844586e-05,-0.0006498202617874495,-0.003349541078957143,-0.0004233846527661151,0.0007198969169028027
C(profession)[T.cook],-0.0010945409845280738,-0.0005362015899133044,-0.0009216513995510494,-0.0015214796728436474,-0.0012312090659788173,0.01660358984581312,-0.00043648671070080716,-0.001524169553895705,-9.472255342075576e-05,-0.00042403477780651505,-2.9115550592704504e-05,-0.0006083759005947694,-0.0032029569850003945,-0.000390758751345055,0.0006915681092444638
C(profession)[T.designer],-0.0001436930287260972,-0.0003098264235531636,-0.00041260672876500785,-0.0005617312678721037,-0.00047096563782049743,-0.00043648671070080716,0.018947001439397173,-0.0005071391316346514,-0.0001785808321632808,-0.000254273225377918,-0.00016350106685860102,-0.0002966440203816745,-0.0008930083127617897,-0.0002466247328743379,0.00015925481554813367
C(profession)[T.driver],-0.0015592008991323254,-0.0006468264956363392,-0.0011704111006255297,-0.001990489054592367,-0.001602724453107167,-0.001524169553895705,-0.0005071391316346514,0.014976214268335055,-3.0199291419190256e-05,-0.00036848763333913523,3.719597228961312e-05,-0.0005578533724700896,-0.0032231553807904626,-0.00033430459674436297,0.00070955466682033
C(profession)[T.lawyer],0.00030107803433606067,-0.00020393659881370998,-0.00017449469624346666,-0.00011279690801622025,-0.00011535223436301024,-9.472255342075576e-05,-0.0001785808321632808,-3.0199291419190256e-05,0.01909501897328511,-0.00017427021641203748,-0.00022636244332009767,-0.00014995451098358167,0.00019228637592947473,-0.00017865952491229325,-9.078781176188149e-05
C(profession)[T.manager],-0.00012748811282150763,-0.00030596840344329656,-0.0004039312869815704,-0.0005453746652155003,-0.0004580091175365583,-0.00042403477780651505,-0.000254273225377918,-0.00036848763333913523,-0.00017427021641203748,0.019001236885003176,-0.0001624334065500947,-0.00023681342459280124,-0.0005699710244029135,-0.0002088702596798852,8.892035744656723e-05
C(profession)[T.receptionist],0.0003864588320836878,-0.00018360938227203892,-0.0001287853482671534,-2.661689999251596e-05,-4.7086651008844586e-05,-2.9115550592704504e-05,-0.00016350106685860102,3.719597228961312e-05,-0.00022636244332009767,-0.0001624334065500947,0.019058954782141854,-0.0001258687305585105,0.000356865109059683,-0.00016635741008208486,-0.00012818051681848981
C(profession)[T.salesperson],-0.00036738921245828705,-0.0003630833722558875,-0.0005323644140059771,-0.0007875213684058303,-0.0006498202617874495,-0.0006083759005947694,-0.0002966440203816745,-0.0005578533724700896,-0.00014995451098358167,-0.00023681342459280124,-0.0001258687305585105,0.018741873683047208,-0.0009447718728331179,-0.00021587962647938048,0.00017915706367681563
C(profession)[T.secretary],-0.003743970877177728,-0.0011669702938339036,-0.0023400465901202783,-0.004195709656761259,-0.003349541078957143,-0.0032029569850003945,-0.0008930083127617897,-0.0032231553807904626,0.00019228637592947473,-0.0005699710244029135,0.000356865109059683,-0.0009447718728331179,0.008910654796656379,0.0005039747449548709,-0.0008124120036239837
C(profession)[T.teacher],-8.418277096646512e-05,-0.0002956583913046188,-0.00038074739795685325,-0.0005016639620309566,-0.0004233846527661151,-0.000390758751345055,-0.0002466247328743379,-0.00033430459674436297,-0.00017865952491229325,-0.0002088702596798852,-0.00016635741008208486,-0.00021587962647938048,0.0005039747449548709,0.019133671935028514,-0.0001554600336145579
C(syntactic_role)[T.subject],0.0009348249241128746,0.000214908780617676,0.0004825184075133928,0.000908966029185371,0.0007198969169028027,0.0006915681092444638,0.00015925481554813367,0.00070955466682033,-9.078781176188149e-05,8.892035744656723e-05,-0.00012818051681848981,0.00017915706367681563,-0.0008124120036239837,-0.0001554600336145579,0.019338764971818623
