,Group
CEO,-0.08340566264225094
accountant,-0.05803642668964943
administrator,-0.629376751692353
agronomist,0.765730153510651
bodyguard,0.8240576634540474
bookbinder,0.2046690916653193
builder,1.671743092353019
cashier,-1.538060337540065
chauffeur,1.1082408608613457
colonel,1.1823072792759528
doctor,0.12059431904366599
electrician,1.3522666281797378
farmer,1.4193933567736468
farmhand,1.208268672149901
fisherman,3.054285580172134
hairdresser,-1.6139730555299943
hawker,0.28158821552450003
housekeeper,-3.1377614955565876
manager,-0.25610273306346926
midwife,-4.653683203988439
molder,0.4613342583362313
nurse,-3.0398177679750487
paralegal,-1.5121670626676111
programmer,1.7063099666895263
salesperson,-0.3780522487986926
scientist,0.08525599393312812
scrivener,0.7071067938615707
secretary,-2.487034579418783
sergeant,1.1029506372996272
soldier,1.8739595044734474
solicitor,-0.2414296359108254
teacher,-1.3647620653172843
tradesperson,0.4812577409973335
welder,1.3823432171553314
