,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.4481936864688108,0.05344859211417214,0.04131563991245091
carpenter,2.0365738708287924,0.03350232217074602,-0.18118669455160175
cashier,-0.23654374731354602,0.01123644874477566,-0.01269282901100871
ceo,-0.6990656680748166,-0.033008637077705696,-0.09768744770291173
cleaner,-0.013104546432665565,-0.023578171976188,-0.1863292121443735
cook,-0.32353943550176395,-0.028847949249547235,-0.0676718435600603
designer,-0.12744569177955845,0.030129661588442172,0.11687448155891864
driver,1.411051367240835,-0.051425419406261406,0.14756778302044954
lawyer,0.3552314109450858,0.05470468769505128,-0.04565806493136643
manager,0.6009312885766496,0.03631771447936368,0.4368354372421149
receptionist,-1.6286779916769232,0.0560548037486801,-0.15480820023374398
salesperson,-0.26472720132735794,0.018036122681654946,0.209469559791251
secretary,-0.8110687470905544,-0.1877802284869741,-0.19616410370848492
teacher,-0.7478085947037209,0.031210052976124964,-0.009864505670870178
