profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.44858058882545987,0.05260370028562843,0.041370159494318305
carpenter,2.036406887200382,0.03282654756951491,-0.1802821890192655
cashier,-0.23641637710235375,0.010972465737898684,-0.012672544930387074
ceo,-0.6992689681841355,-0.03268174743928984,-0.09758144912052547
cleaner,-0.013393680914534207,-0.023496807552423223,-0.18584307948329978
cook,-0.32375755849342563,-0.02848887016250143,-0.06758437126901651
designer,-0.12711381351065007,0.02977697849236231,0.11657730499747589
driver,1.4104578894201618,-0.05000278113741875,0.14727092422729915
lawyer,0.35559994117194527,0.05365966850132214,-0.045367019954580055
manager,0.6013536858664559,0.036555809320433334,0.43574985940081873
receptionist,-1.6280123478663178,0.05450288497333718,-0.1545162480895398
salesperson,-0.2644241511177624,0.01806188293347035,0.2088626958495926
secretary,-0.8125860224113352,-0.18480180211070552,-0.1960888623660945
teacher,-0.7474260729164917,0.030512070587935973,-0.009895179738830157
