,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
Group,1.005399948528196,0.11386748269970115,-0.15525824089723028
C(semantic_role)[T.patient],0.11386748269970115,0.015109273545783048,-0.016655702182211664
C(syntactic_role)[T.subject],-0.15525824089723028,-0.016655702182211664,0.07405480644899752
