predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,baseline_r2,full_r2
profession_embedding,0.2800096416197551,0.0010421951144459576,0.8593896602895007,500,0,0.0,0.325823842848457
log_frequency,0.02317882734710988,0.0009752766102695958,0.07113913808293802,500,0,0.0,0.325823842848457
C(syntactic_role),0.012958592785418018,6.661947214113e-18,0.03977177566911563,500,0,0.0,0.325823842848457
C(tense),0.0034350113818987947,7.535805369694912e-18,0.010542541490729525,500,0,0.0,0.325823842848457
lex_emb_norm,0.0025768191732408624,0.00013211389216679213,0.007908626792666488,500,0,0.0,0.325823842848457
C(semantic_role),0.0020073104622911754,6.499423411751777e-18,0.006160723060481457,500,0,0.0,0.325823842848457
"C(valence, Treatment(reference='-val'))",0.0015795509985048828,7.353477487409052e-18,0.0048478680525523826,500,0,0.0,0.325823842848457
"C(dominance, Treatment(reference='-dom'))",7.808908024018723e-05,6.750888995731298e-18,0.00023966656202169655,500,0,0.0,0.325823842848457
