,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.3506232649111802,-0.006695704915283313,-0.12360544329623727
carpenter,1.896067618006935,0.18423962841240496,-0.11471390788561002
cashier,-0.5778750442500675,-0.06640429694084755,-0.005104519340610547
ceo,0.8409707624562214,0.17388088161220025,-0.22240447810432137
cleaner,-0.6626260514691191,-0.03455962164472302,0.09133151173093415
cook,-0.2029315625250022,-0.0017756427721648462,0.5663596943829569
designer,-0.10987904025632668,-0.020295136477709412,0.2484031041050464
driver,1.0849406142353784,0.08937993996967467,-0.2873980232673643
lawyer,0.44484131571014685,0.04850896704896735,-0.0862173648502394
manager,0.4526366303805648,0.09552157113380247,-0.10431528622473467
receptionist,-1.614263723632425,-0.20213408586431064,-0.11390572302266876
salesperson,0.7350618623600318,0.050695319140081456,-0.447060735364183
secretary,-1.8689535312061318,-0.2525952075765365,0.46718140499037736
teacher,-0.7686131146793974,-0.057766611120720276,0.1314497661416477
