predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
"male_perc:C(valence, Treatment(reference='-val'))",0.18707638770806337,0.011453732278803901,0.34700792770488387,500,0,0.5391127198314738
male_perc,0.18262608016882442,0.011390558899436784,0.3387530537693735,500,0,0.5391127198314738
male_perc:C(semantic_role),0.16790542981011966,0.01114051131124087,0.3114477244436131,500,0,0.5391127198314738
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0008389557768285782,1.3799043398061047e-05,0.0015561787840784672,500,0,0.5391127198314738
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0003240043577980973,1.3816694004736882e-05,0.0006009955726872496,500,0,0.5391127198314738
"C(dominance, Treatment(reference='-dom'))",0.00021201104980221564,1.3342051868670675e-05,0.00039325922391237613,500,0,0.5391127198314738
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00011330668441297841,1.911952168124351e-06,0.00021017253024265128,500,0,0.5391127198314738
"C(valence, Treatment(reference='-val'))",1.654427562564975e-05,1.0004885250829444e-06,3.06879712109584e-05,500,0,0.5391127198314738
