predictor,unique_r2,relative_r2
profession_embedding_4,0.07294276334288186,0.21090475608687395
profession_embedding_3,0.06199789221823193,0.1792590482858708
profession_embedding_10,0.0405257165716868,0.11717497359704097
log_frequency,0.038313844414205045,0.11077962556674785
profession_embedding_5,0.037116338542721894,0.10731718910063062
profession_embedding_9,0.023440021297561953,0.06777385100143533
profession_embedding_1,0.020679500782910587,0.059792155777214404
lex_emb_norm,0.013329802794808998,0.03854143548017455
C(tense),0.011099081959806134,0.032091588887543404
profession_embedding_7,0.010027006576719066,0.028991818782675493
C(syntactic_role),0.008250710280472084,0.023855883154120155
"C(valence, Treatment(reference='-val'))",0.003293488677984402,0.009522705124839026
profession_embedding_6,0.0027883231013143828,0.008062082880103731
profession_embedding_8,0.001028244159562819,0.0029730376768281777
profession_embedding_2,0.001023682631977052,0.0029598485979014932
