predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2,utility
C(syntactic_role):log_frequency,0.0019139435320460738,9.780534660296168e-05,0.08454664358170262,500,0,0.022637723402899046,OLS fixed-effect R2
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0015054779759206501,0.00012003330988939197,0.06650306433763806,500,0,0.022637723402899046,OLS fixed-effect R2
log_frequency:lex_emb_norm,0.0014807965269053693,9.267958168541056e-05,0.06541278469352332,500,0,0.022637723402899046,OLS fixed-effect R2
C(tense):C(syntactic_role),0.0014478470906363725,0.0001131207850688607,0.06395727453984872,500,0,0.022637723402899046,OLS fixed-effect R2
"C(tense):C(valence, Treatment(reference='-val'))",0.0013931604126845047,0.00011614215022963819,0.06154154231366273,500,0,0.022637723402899046,OLS fixed-effect R2
C(tense),0.0013203997294799533,0.00011604643276303764,0.05832740801625218,500,0,0.022637723402899046,OLS fixed-effect R2
C(tense):C(semantic_role),0.0012368763004337805,0.00011191109701100511,0.05463783961046997,500,0,0.022637723402899046,OLS fixed-effect R2
C(tense):lex_emb_norm,0.0012243813687023875,0.00010751109215280464,0.0540858878302926,500,0,0.022637723402899046,OLS fixed-effect R2
C(tense):log_frequency,0.0011693578695668595,0.00010353769669628563,0.051655276847189874,500,0,0.022637723402899046,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):lex_emb_norm",0.0011129366109283356,0.00010666651008152899,0.04916292116131298,500,0,0.022637723402899046,OLS fixed-effect R2
C(syntactic_role):lex_emb_norm,0.0011099273844778544,0.00010382311798494381,0.04902999143172295,500,0,0.022637723402899046,OLS fixed-effect R2
C(semantic_role):log_frequency,0.0010067904823136359,0.000100183693916508,0.04447401641919097,500,0,0.022637723402899046,OLS fixed-effect R2
lex_emb_norm,0.000988331076623121,0.00010135316827940232,0.04365858964848704,500,0,0.022637723402899046,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):log_frequency",0.000969407304341621,9.871817573586432e-05,0.04282264992324609,500,0,0.022637723402899046,OLS fixed-effect R2
log_frequency,0.0009392167159427118,9.813872471586237e-05,0.04148900926240813,500,0,0.022637723402899046,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):lex_emb_norm",0.0009202752410530761,9.92802536446046e-05,0.040652287541211994,500,0,0.022637723402899046,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom')):log_frequency",0.0009140363472836226,9.639601445351296e-05,0.04037669031535957,500,0,0.022637723402899046,OLS fixed-effect R2
C(semantic_role):lex_emb_norm,0.0008173305059991642,9.444133635531853e-05,0.03610480132885159,500,0,0.022637723402899046,OLS fixed-effect R2
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0004775787199235735,9.506334788599269e-06,0.021096587824834607,500,0,0.022637723402899046,OLS fixed-effect R2
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.00015748309904915092,7.293396199145631e-07,0.00695666680992238,500,0,0.022637723402899046,OLS fixed-effect R2
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.00014562252162898592,9.349426637473984e-07,0.00643273703089495,500,0,0.022637723402899046,OLS fixed-effect R2
C(semantic_role):C(syntactic_role),0.00012968338236961618,9.160536554083345e-06,0.005728640643829432,500,0,0.022637723402899046,OLS fixed-effect R2
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.00011001235941944754,9.215663322370241e-06,0.004859691827728537,500,0,0.022637723402899046,OLS fixed-effect R2
C(syntactic_role),9.957169365528306e-05,8.91488237019591e-06,0.004398485301862627,500,0,0.022637723402899046,OLS fixed-effect R2
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",2.810280702586243e-05,1.2711716125404887e-06,0.0012414148952037956,500,0,0.022637723402899046,OLS fixed-effect R2
"C(dominance, Treatment(reference='-dom'))",9.749572832367104e-06,8.465238791648165e-07,0.00043067814986724983,500,0,0.022637723402899046,OLS fixed-effect R2
C(semantic_role),6.783478862017578e-06,6.035704430880408e-07,0.0002996537567531578,500,0,0.022637723402899046,OLS fixed-effect R2
"C(valence, Treatment(reference='-val'))",2.6432927936477225e-06,2.3965968703148675e-07,0.0001167649567318777,500,0,0.022637723402899046,OLS fixed-effect R2
