target_model,model_name,runs,mean_aic,mean_bic,mean_R2m,mean_R2c,converged_rate,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_semantic_role_log_frequency,1,17156.589784440905,17711.00034169421,0.022437415939059374,0.9515803750296673,1.0,0.0184476110349045,0.05438287898728563,0.001533576018143165,0.007220885569603061
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_semantic_role_lex_emb_norm,1,17156.72801669303,17711.138573946333,0.022127962075999204,0.951619512060485,1.0,0.018522211278948066,0.05435359148139481,0.0015351158543128046,0.007223035443469767
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_dominance_log_frequency,1,17156.890751772182,17711.301309025486,0.03488904968624519,0.9521060145444586,1.0,0.018416971535177237,0.05433321727852649,0.0015326752648060498,0.007298800988767683
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__log_frequency_lex_emb_norm,1,17157.104100055672,17711.514657308977,0.022100247527714625,0.9511598147089957,1.0,0.018413758884260882,0.05434058658294211,0.0015346736281158296,0.00721605043614344
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,1,17157.21801608833,17711.628573341633,0.020602066652005962,0.9514474999752576,1.0,0.018405728493034568,0.05545174730102721,0.0015420589788877313,0.007216503439767811
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_lex_emb_norm,1,17157.282988050923,17711.693545304228,0.03624748439693259,0.9523007848265915,1.0,0.01842554990323436,0.05553975098706799,0.00154367532028388,0.00722135854217872
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence,1,17157.409986333485,17711.82054358679,0.027998230576046546,0.9516970708903719,1.0,0.01838723611660655,0.05434385326838127,0.0015325743873936975,0.007214558066537877
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_valence_log_frequency,1,17158.1046158174,17712.515173070704,0.030702942147216524,0.9519304213920801,1.0,0.01847169977914155,0.05474322061630693,0.0016688201003095791,0.007227441104322205
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes,1,17158.53996132227,17720.65066520409,0.0279252187636082,0.9518185038228933,1.0,0.01842899936507104,0.054228598055391104,0.0015330666053398252,0.007208553875891006
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__full,1,17158.53996132227,17720.65066520409,0.0279252187636082,0.9518185038228933,1.0,0.01842899936507104,0.054228598055391104,0.0015330666053398252,0.007208553875891006
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_dominance,1,17160.157257123123,17714.567814376427,0.027993526483291318,0.951753549297274,1.0,0.01840723666272711,0.05438098985561253,0.0015342384448710316,0.007212000653553341
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_C_semantic_role,1,17161.376173613913,17684.986144353144,0.027888528072214043,0.9517586606286768,1.0,0.01842198279157548,0.05430690005092969,0.0015320232261539248,0.007214600420650169
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_log_frequency,1,17162.038431226392,17685.648401965624,0.027934792431860263,0.9516943295749076,1.0,0.018392820348675707,0.054371244258158764,0.0015316617139360157,0.007216411589210401
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_syntactic_role,1,17164.536297081446,17718.94685433475,0.02789089187108143,0.9517818531790717,1.0,0.018418477651738926,0.05435519484787394,0.001532217212216191,0.00721603922697095
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_dominance_lex_emb_norm,1,17168.465822808066,17722.87638006137,0.038852822997201955,0.9280326031928712,0.0,0.014018692147625,0.04774808066693614,0.0010088993317372687,0.007608219837399969
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance,1,17168.656869179365,17692.266839918597,0.027949645738422818,0.9516704019512555,1.0,0.018395053129313263,0.05439447461445959,0.001531971558023234,0.0072123187125574485
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_valence_lex_emb_norm,1,17168.748052212555,17723.15860946586,0.037015204025546714,0.9280229747985177,1.0,0.014133627472092037,0.04818368106933299,0.0010117194027759741,0.007584175071121074
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_C_valence,1,17171.91995846323,17695.52992920246,0.027838154294433558,0.9518197335128272,1.0,0.018445925499322745,0.054305880980339505,0.001532318524212721,0.007213054058239767
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_lex_emb_norm,1,17186.023349375086,17709.633320114317,0.02782246030381056,0.9517056728611563,1.0,0.018431041248026803,0.05429142280090731,0.0015310545351607426,0.0072121991387534895
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance,1,17201.382675810222,17755.793233063527,0.027831039214325205,0.9516313997216358,1.0,0.01840086894830562,0.054402568484385,0.001530543246582199,0.007215508408174798
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_semantic_role_C_valence,1,17206.150084975437,17760.560642228742,0.02781675792264711,0.9515958156660065,1.0,0.018398164882975975,0.05434213457264498,0.0015281579292428038,0.0072114265526226195
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role,1,17221.993041790993,17745.603012530224,0.027763612257651164,0.951491490821625,1.0,0.01839526714055298,0.05437517741631981,0.0015298679789873184,0.0072108049015650166
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,1,17276.59306895919,17831.003626212496,0.02758341256244511,0.9513840005216693,1.0,0.018405153939590004,0.05422556465520717,0.0015217560887641373,0.007197164884594528
EleutherAI_pythia-12b-deduped,selected_mixed_random_slopes__random_intercept_baseline,1,18830.962705824524,19285.27135690709,0.022340361392309705,0.9443619189529655,1.0,,,,
EleutherAI_pythia-2.8b-deduped,selected_mixed_random_slopes__candidate__0__log_frequency_lex_emb_norm,1,10432.70786520798,10987.118422461283,0.0343315070042422,0.925094517286369,0.0,0.007436937493344649,0.07893548876697541,0.0055279214249010925,0.006545235134970871
EleutherAI_pythia-2.8b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_log_frequency,1,10436.04828505579,10990.458842309092,0.02265488384446565,0.9245552078277381,0.0,0.007810747899531599,0.08733389896805363,0.006078787641659025,0.007019047184039807
EleutherAI_pythia-2.8b-deduped,selected_mixed_random_slopes__candidate__0__C_syntactic_role_lex_emb_norm,1,10436.3920584367,10990.802615690003,0.024803177493064488,0.9247725975670144,1.0,0.007892010226812143,0.08373534579503938,0.006164514468166993,0.0071085910754599005
