profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.44826988710093313,0.0532807264126501,0.04132832991722915
carpenter,2.036547828241553,0.03335926562986891,-0.18101009873536514
cashier,-0.23651800568507542,0.01118067052969653,-0.012686502206745344
ceo,-0.6991034248851353,-0.0329516447672785,-0.09766428411168028
cleaner,-0.013156057864004833,-0.023575010342728384,-0.18623123010654422
cook,-0.3235809413552028,-0.028780738000462974,-0.06765426631445856
designer,-0.12738338063976878,0.03006551725042443,0.11681652332188086
driver,1.410928628999241,-0.05111858831770661,0.14749515504285765
lawyer,0.3553068161268893,0.054489310579006474,-0.04559626127621778
manager,0.6010013407697652,0.03640016577749132,0.4366122094598087
receptionist,-1.628540717161945,0.05572018078297723,-0.15473501321841515
salesperson,-0.26467385560194534,0.01805541458656269,0.20934795923593452
secretary,-0.8113658565651114,-0.18718906519417422,-0.19615825404512133
teacher,-0.7477322616664023,0.031063795070914488,-0.00986426697558994
