,Group,C(tense)[T.past perfect],C(tense)[T.present continuous],C(tense)[T.present perfect],C(tense)[T.simple future],C(tense)[T.simple past],C(semantic_role)[T.patient],C(syntactic_role)[T.subject],"C(valence, Treatment(reference='-val'))[T.+val]","C(dominance, Treatment(reference='-dom'))[T.+dom]"
Group,1.361546539046408,-0.01342327084190926,-0.145013702218557,-0.10805998961604606,-0.13772087530375174,-0.049404010287218234,0.06253448402474085,-0.13223765394687176,-0.0471790096718404,-0.023731244407568963
C(tense)[T.past perfect],-0.01342327084190926,0.0026650114714601276,-0.0005732430693008593,0.001140293220072474,0.000549632352440963,0.001244431963474621,-0.0005217702581361984,-0.0019069482435896748,0.0005447679633493094,0.0016698364217455656
C(tense)[T.present continuous],-0.145013702218557,-0.0005732430693008593,0.02967057664189147,0.020499341336775168,0.03113960380978425,0.006951720166727993,-0.00710090277972157,0.02303799425637925,0.006584003346994108,0.0009363205391226133
C(tense)[T.present perfect],-0.10805998961604606,0.001140293220072474,0.020499341336775168,0.016033520239257217,0.02306845283872189,0.006451016501897676,-0.004379984406476135,0.016421485545661807,0.004547158989208292,0.0007802873294927595
C(tense)[T.simple future],-0.13772087530375174,0.000549632352440963,0.03113960380978425,0.02306845283872189,0.04724224554691999,0.007506063153960259,-0.010680545560338763,0.017799019991832195,0.010214350646556531,-0.00019568204153296365
C(tense)[T.simple past],-0.049404010287218234,0.001244431963474621,0.006951720166727993,0.006451016501897676,0.007506063153960259,0.003275688059562561,-0.0013020755722949668,0.006589025641844409,0.0014834176145072683,0.0005024236358800474
C(semantic_role)[T.patient],0.06253448402474085,-0.0005217702581361984,-0.00710090277972157,-0.004379984406476135,-0.010680545560338763,-0.0013020755722949668,0.00563895253702856,-0.0027839547434296273,-0.003984761389739443,-0.0013433014331563247
C(syntactic_role)[T.subject],-0.13223765394687176,-0.0019069482435896748,0.02303799425637925,0.016421485545661807,0.017799019991832195,0.006589025641844409,-0.0027839547434296273,0.03462831844294987,0.0054063469501830904,0.00046182933851374717
"C(valence, Treatment(reference='-val'))[T.+val]",-0.0471790096718404,0.0005447679633493094,0.006584003346994108,0.004547158989208292,0.010214350646556531,0.0014834176145072683,-0.003984761389739443,0.0054063469501830904,0.004477883512574655,0.000430043977520443
"C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.023731244407568963,0.0016698364217455656,0.0009363205391226133,0.0007802873294927595,-0.00019568204153296365,0.0005024236358800474,-0.0013433014331563247,0.00046182933851374717,0.000430043977520443,0.0027929099104580437
