,Group,C(profession)[T.carpenter],C(profession)[T.cashier],C(profession)[T.ceo],C(profession)[T.cleaner],C(profession)[T.cook],C(profession)[T.designer],C(profession)[T.driver],C(profession)[T.lawyer],C(profession)[T.manager],C(profession)[T.receptionist],C(profession)[T.salesperson],C(profession)[T.secretary],C(profession)[T.teacher],C(syntactic_role)[T.subject]
Group,0.016987837697127067,-5.759462146936966e-05,-0.00043040796656491106,-0.0011486219313322137,-0.0009815378015592229,-0.0010924016546403307,-0.0001438571351234173,-0.0015559359271258165,0.0002998364667117039,-0.00012769147574878627,0.0003850104288382633,-0.0003670114131772602,-0.003735413283558223,-8.449104140836202e-05,0.0009324829554841486
C(profession)[T.carpenter],-5.759462146936966e-05,0.01885543274169375,-0.0003768220980802906,-0.0005478195809393026,-0.0005080390043729102,-0.0005344342580828592,-0.0003085980404961062,-0.0006447957905825509,-0.00020296031580841422,-0.00030474920547150444,-0.00018268149383489701,-0.0003617281962840322,-0.0011637012424256577,-0.0002944637391718784,0.0002143957250454872
C(profession)[T.cashier],-0.00043040796656491106,-0.0003768220980802906,0.01827002689064233,-0.0009489749619302133,-0.0008595326545063343,-0.0009188795167354541,-0.00041111130057691305,-0.0011670154405860236,-0.00017359634572500836,-0.0004024576128917735,-0.00012800161619392822,-0.0005305686875134467,-0.0023337180113830124,-0.0003793318586126737,0.0004813060542309895
C(profession)[T.ceo],-0.0011486219313322137,-0.0005478195809393026,-0.0009489749619302133,0.015954764175200274,-0.0014047696919009499,-0.0015166135283704854,-0.0005596843294277919,-0.0019842452218940126,-0.00011206868856878485,-0.0005433757733556577,-2.6141829387882177e-05,-0.000784811184459434,-0.004182988114713261,-0.0004997934678609231,0.0009062907284297993
C(profession)[T.cleaner],-0.0009815378015592229,-0.0005080390043729102,-0.0008595326545063343,-0.0014047696919009499,0.016777425120012793,-0.0012267369478742968,-0.00046904330092687976,-0.0015970063091659014,-0.00011462258962678968,-0.0004561302355295558,-4.6585962282351406e-05,-0.0006472980641876224,-0.00333796428494898,-0.0004216218977869472,0.0007174770358216216
C(profession)[T.cook],-0.0010924016546403307,-0.0005344342580828592,-0.0009188795167354541,-0.0015166135283704854,-0.0012267369478742968,0.01650193169620334,-0.0004344667441070039,-0.0015178421282481236,-9.405604672817261e-05,-0.0004220641235572118,-2.870886180569152e-05,-0.00060567521567216,-0.003189981198422693,-0.0003889198773498914,0.0006888222263650621
C(profession)[T.designer],-0.0001438571351234173,-0.0003085980404961062,-0.00041111130057691305,-0.0005596843294277919,-0.00046904330092687976,-0.0004344667441070039,0.018838552347784678,-0.0005047601166554222,-0.00017768982694250338,-0.00025303941639925415,-0.00016267835648217592,-0.0002952183180417953,-0.0008888817324101462,-0.0002454255632017095,0.0001585316052581544
C(profession)[T.driver],-0.0015559359271258165,-0.0006447957905825509,-0.0011670154405860236,-0.0019842452218940126,-0.0015970063091659014,-0.0015178421282481236,-0.0005047601166554222,0.014881187069624551,-2.9735074144496633e-05,-0.00036612149535102497,3.728128071015784e-05,-0.0005544225846639292,-0.0032047397635685234,-0.0003321306422201958,0.0007055508452955193
C(profession)[T.lawyer],0.0002998364667117039,-0.00020296031580841422,-0.00017359634572500836,-0.00011206868856878485,-0.00011462258962678968,-9.405604672817261e-05,-0.00017768982694250338,-2.9735074144496633e-05,0.01898607572311408,-0.00017340363848546538,-0.00022534869982172647,-0.0001491566272731323,0.00019211739608261398,-0.00017778054676530656,-9.053152504509496e-05
C(profession)[T.manager],-0.00012769147574878627,-0.00030474920547150444,-0.0004024576128917735,-0.0005433757733556577,-0.0004561302355295558,-0.0004220641235572118,-0.00025303941639925415,-0.00036612149535102497,-0.00017340363848546538,0.018892718069706653,-0.00016164558002079973,-0.00023542194865627195,-0.0005658757256799449,-0.0002077055633997826,8.819634769458178e-05
C(profession)[T.receptionist],0.0003850104288382633,-0.00018268149383489701,-0.00012800161619392822,-2.6141829387882177e-05,-4.6585962282351406e-05,-2.870886180569152e-05,-0.00016267835648217592,3.728128071015784e-05,-0.00022534869982172647,-0.00016164558002079973,0.018950105310248877,-0.00012521140688252446,0.00035581196565067085,-0.0001655566231806831,-0.00012772562768800322
C(profession)[T.salesperson],-0.0003670114131772602,-0.0003617281962840322,-0.0005305686875134467,-0.000784811184459434,-0.0006472980641876224,-0.00060567521567216,-0.0002952183180417953,-0.0005544225846639292,-0.0001491566272731323,-0.00023542194865627195,-0.00012521140688252446,0.01863430518582043,-0.0009382670213974542,-0.00021456822328378927,0.0001778755021426759
C(profession)[T.secretary],-0.003735413283558223,-0.0011637012424256577,-0.0023337180113830124,-0.004182988114713261,-0.00333796428494898,-0.003189981198422693,-0.0008888817324101462,-0.0032047397635685234,0.00019211739608261398,-0.0005658757256799449,0.00035581196565067085,-0.0009382670213974542,0.008885502159037663,0.0005084521924122207,-0.0008245925368544598
C(profession)[T.teacher],-8.449104140836202e-05,-0.0002944637391718784,-0.0003793318586126737,-0.0004997934678609231,-0.0004216218977869472,-0.0003889198773498914,-0.0002454255632017095,-0.0003321306422201958,-0.00017778054676530656,-0.0002077055633997826,-0.0001655566231806831,-0.00021456822328378927,0.0005084521924122207,0.019025045374901912,-0.00015627853094129523
C(syntactic_role)[T.subject],0.0009324829554841486,0.0002143957250454872,0.0004813060542309895,0.0009062907284297993,0.0007174770358216216,0.0006888222263650621,0.0001585316052581544,0.0007055508452955193,-9.053152504509496e-05,8.819634769458178e-05,-0.00012772562768800322,0.0001778755021426759,-0.0008245925368544598,-0.00015627853094129523,0.019230653121094253
