profession,Group,C(semantic_role)[T.patient]
accountant,0.6385038513613566,0.01817261730911158
carpenter,2.4717891762492568,0.17944142670152013
cashier,-0.8606306332969637,0.016231622223791688
ceo,0.4149576963031713,-3.613977099536416e-05
cleaner,-0.7696452719576656,-0.03868968782809389
cook,-0.10441919437799753,0.03384808442596175
designer,0.25660113334402646,-0.03485462421295061
driver,0.9773400275532733,-0.009690712196609438
lawyer,1.0426198659446873,-0.0717846737810816
manager,0.5069621403910393,0.041554014229860416
receptionist,-2.135051089471798,-0.02780920946547448
salesperson,0.1841624981797839,-0.026116814611872513
secretary,-1.8891580613672745,-0.06517181449911365
teacher,-0.7340321389572148,-0.01509408852725323
