,Group
CEO,0.9295744718092732
accountant,-0.47824231786893523
administrator,-0.8004313195072581
agronomist,1.096965813573796
bodyguard,1.583841580171943
bookbinder,-1.0419481941312088
builder,0.5077540341758975
cashier,-0.3683691133434314
chauffeur,0.5671599559699355
colonel,1.6600718940135675
doctor,0.3078444773874046
electrician,0.6876940917991031
farmer,1.3945227228206691
farmhand,0.8581749436148121
fisherman,1.5353118317465402
hairdresser,-0.8933297216486655
hawker,-0.13556550756055427
housekeeper,-1.7575617464206674
manager,0.12796431024269747
midwife,-2.926668729598343
molder,-0.9261318021920453
nurse,-3.2552605748440215
paralegal,0.4538597228199735
programmer,0.4422713411321671
salesperson,-0.2683798997541412
scientist,0.010788225045803325
scrivener,0.8716396943438603
secretary,-1.5552036839413184
sergeant,0.6674321600957647
soldier,1.4180011023615815
solicitor,-0.8857991929550216
teacher,-1.3681001426142045
tradesperson,-0.10122008906008494
welder,1.6413396624116219
