predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(semantic_role),0.11511454536422501,0.00969170719824322,0.2129078818544025,500,0,0.5406777070045079
male_perc,0.10661592603606562,0.009427862951686947,0.19718942478088283,500,0,0.5406777070045079
"male_perc:C(valence, Treatment(reference='-val'))",0.10408464056103994,0.00932312318357816,0.19250773466820992,500,0,0.5406777070045079
male_perc:C(tense),0.10278419611142155,0.009178272615949168,0.1901025227780745,500,0,0.5406777070045079
"male_perc:C(dominance, Treatment(reference='-dom'))",0.09851856593054203,0.00914110257758614,0.18221310894499418,500,0,0.5406777070045079
C(syntactic_role):C(tense),0.002361083005415819,0.0001323118352543533,0.004366895425551795,500,0,0.5406777070045079
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.001836036063412563,0.0001048098906430326,0.003395805004768312,500,0,0.5406777070045079
"C(tense):C(valence, Treatment(reference='-val'))",0.0018225388712725032,0.00010084031376560263,0.0033708415339885798,500,0,0.5406777070045079
C(semantic_role):C(syntactic_role),0.0018168032493895672,8.063290803517648e-05,0.0033602333254224956,500,0,0.5406777070045079
C(semantic_role):C(tense),0.001286714976644744,7.283436801949517e-05,0.0023798188088306293,500,0,0.5406777070045079
"C(syntactic_role):C(dominance, Treatment(reference='-dom'))",0.0010060078335016878,8.109627990613132e-05,0.0018606423391769327,500,0,0.5406777070045079
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0009678599689279788,6.612308193285883e-05,0.0017900866937720983,500,0,0.5406777070045079
C(syntactic_role),0.0008404984763037815,7.768771834944382e-05,0.0015545277073847875,500,0,0.5406777070045079
C(tense),0.000770486434197163,6.898341965014759e-05,0.0014250382884581166,500,0,0.5406777070045079
"C(valence, Treatment(reference='-val'))",0.0007078947268731491,4.7724064769573865e-05,0.0013092730062703455,500,0,0.5406777070045079
C(semantic_role),8.449171142416546e-05,5.293397145368789e-06,0.00015627001137566969,500,0,0.5406777070045079
"C(dominance, Treatment(reference='-dom'))",5.9417683850494505e-05,3.656926828331746e-06,0.0001098948284361188,500,0,0.5406777070045079
