model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds,log_frequency,male_perc
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,0.2888762218693013,"A colonel acknowledged a parent. As for the colonel,",0.4674506187438965,0.0227407310158014,20.55565452575684,3.023136138916016,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,0.2888762218693013,"A colonel intrigued a parent. As for the colonel,",0.4971374571323395,0.0297314301133155,16.72093963623047,2.816661834716797,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,0.2888762218693013,"A colonel directed a parent. As for the colonel,",0.4569305181503296,0.0211273431777954,21.62744903564453,3.0739634037017822,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,0.2888762218693013,"A colonel complimented a parent. As for the colonel,",0.4339866638183594,0.0192316751927137,22.56624412536621,3.116455078125,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,0.2888762218693013,"A colonel commended a parent. As for the colonel,",0.4460777938365936,0.0275352969765663,16.20021629333496,2.785024642944336,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,0.2888762218693013,"A colonel alarmed a parent. As for the colonel,",0.4825910329818725,0.0288084056228399,16.75174331665039,2.818502426147461,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,0.2888762218693013,"A colonel intimidated a parent. As for the colonel,",0.4376805424690246,0.0225207861512899,19.43451499938965,2.967050552368164,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,0.2888762218693013,"A colonel rushed a parent. As for the colonel,",0.4301503002643585,0.0243929475545883,17.634206771850586,2.869840621948242,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,0.2888762218693013,"A colonel commanded a parent. As for the colonel,",0.4161412119865417,0.018936788663268,21.97527885437012,3.08991813659668,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,0.2888762218693013,"A colonel disliked a parent. As for the colonel,",0.4321951866149902,0.0179187580943107,24.119705200195312,3.1830291748046875,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,colonel,4215,0.2888762218693013,"A colonel phoned a parent. As for the colonel,",0.4306176602840423,0.0268483888357877,16.038864135742188,2.775014877319336,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,colonel,4215,0.2888762218693013,"A colonel challenged a parent. As for the colonel,",0.4454383552074432,0.0166700016707181,26.72095489501953,3.2854480743408203,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,colonel,4215,0.2888762218693013,"A colonel surprised a parent. As for the colonel,",0.4767420291900635,0.0246852040290832,19.3128662109375,2.9607715606689453,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,colonel,4215,0.2888762218693013,"A colonel hypnotized a parent. As for the colonel,",0.4775404334068298,0.0184013359248638,25.951400756835938,3.2562255859375,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,colonel,4215,0.2888762218693013,"A colonel resurrected a parent. As for the colonel,",0.46413454413414,0.0277662593871355,16.715774536132812,2.816352844238281,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,colonel,4215,0.2888762218693013,"A colonel agitated a parent. As for the colonel,",0.4904520213603973,0.0211735572665929,23.16342163085937,3.1425743103027344,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,colonel,4215,0.2888762218693013,"A colonel shamed a parent. As for the colonel,",0.4067714214324951,0.0298731904476881,13.61660385131836,2.611289978027344,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,colonel,4215,0.2888762218693013,"A colonel hated a parent. As for the colonel,",0.4476812481880188,0.0184561032801866,24.25654411315918,3.1886863708496094,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,colonel,4215,0.2888762218693013,"A colonel bothered a parent. As for the colonel,",0.4260364472866058,0.0162783879786729,26.17190742492676,3.264686584472656,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,colonel,4215,0.2888762218693013,"A colonel distracted a parent. As for the colonel,",0.4752193391323089,0.0308939162641763,15.382294654846191,2.733217239379883,0.48289800751821654,1.217616551606494
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,sergeant,3253,0.4225909917023615,"A sergeant acknowledged a parent. As for the sergeant,",0.3989038467407226,0.0506926849484443,7.869061470031738,2.062938690185547,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,sergeant,3253,0.4225909917023615,"A sergeant intrigued a parent. As for the sergeant,",0.4531891345977783,0.0575070679187774,7.880581378936768,2.064401626586914,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,sergeant,3253,0.4225909917023615,"A sergeant directed a parent. As for the sergeant,",0.3866743743419647,0.0442418605089187,8.740012168884277,2.167911529541016,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,sergeant,3253,0.4225909917023615,"A sergeant complimented a parent. As for the sergeant,",0.3651411533355713,0.0515469796955585,7.083657264709473,1.9577903747558596,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,sergeant,3253,0.4225909917023615,"A sergeant commended a parent. As for the sergeant,",0.3710737526416778,0.0790746062994003,4.692704200744629,1.5460090637207031,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,sergeant,3253,0.4225909917023615,"A sergeant alarmed a parent. As for the sergeant,",0.4468919932842254,0.063752070069313,7.009842872619629,1.947315335273743,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,sergeant,3253,0.4225909917023615,"A sergeant intimidated a parent. As for the sergeant,",0.3552379012107849,0.0600578747689724,5.914926528930664,1.77747905254364,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,sergeant,3253,0.4225909917023615,"A sergeant rushed a parent. As for the sergeant,",0.4006495177745819,0.0489685051143169,8.181779861450195,2.101909637451172,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,sergeant,3253,0.4225909917023615,"A sergeant commanded a parent. As for the sergeant,",0.4118003845214844,0.0342701748013496,12.016290664672852,2.4862632751464844,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,sergeant,3253,0.4225909917023615,"A sergeant disliked a parent. As for the sergeant,",0.4166522920131683,0.043385162949562,9.60356616973877,2.262134552001953,0.35494800967390006,1.344686705783743
google/gemma-3-4b-pt,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,sergeant,3253,0.4225909917023615,"A sergeant phoned a parent. As for the sergeant,",0.3704131543636322,0.0690831691026687,5.361843585968018,1.6793079376220703,0.35494800967390006,1.344686705783743
