,Group
CEO,-0.4887716969444063
accountant,0.24742543612853682
administrator,-0.3574488085509202
agronomist,-0.8907155250588378
bodyguard,0.7794202855671571
bookbinder,0.38369691653140175
builder,1.3016096929697099
cashier,-1.13527378518676
chauffeur,1.6649440958972308
colonel,1.7097248733006583
doctor,0.4778294872046618
electrician,0.8763981317445779
farmer,1.7075249258899179
farmhand,1.1905509339377376
fisherman,2.7492699917425125
hairdresser,-0.3137925325851488
hawker,0.5328060428551635
housekeeper,-2.9387729049172457
manager,0.34656939852352764
midwife,-3.756895582478122
molder,-0.14021699482193403
nurse,-2.8850709791274163
paralegal,-0.33967082086586703
programmer,-0.07136215071226591
salesperson,-0.07509241305234005
scientist,-0.26285054175574024
scrivener,-0.5990785711508975
secretary,-2.1399562694059022
sergeant,0.8475542985754762
soldier,1.708985835069298
solicitor,0.252730819262144
teacher,-0.868311916010022
tradesperson,-0.3855639425426612
welder,0.8718042703617094
