predictor,unique_r2,relative_r2
profession_embedding_9,0.21238610594946394,0.6745128054376909
profession_embedding_3,0.020653682479648827,0.06559361898787323
profession_embedding_6,0.018894418377494282,0.06000640715146225
C(syntactic_role),0.01295859278541811,0.04115493683139894
profession_embedding_7,0.011233026398409618,0.035674744897624205
lex_emb_norm,0.009554132269040672,0.03034277845767745
log_frequency,0.008711891276711348,0.027667922058521782
profession_embedding_4,0.004875760561786846,0.015484830895462811
profession_embedding_2,0.004382419633058521,0.013918039261960393
profession_embedding_10,0.0034625333978410833,0.0109965908817746
C(tense),0.0034350113818990557,0.010909184259286898
C(semantic_role),0.0020073104622913007,0.0063749773331533265
"C(valence, Treatment(reference='-val'))",0.0015795509985051526,0.005016464568483254
profession_embedding_8,0.0003543281598740178,0.0011253037485374246
profession_embedding_5,0.0002914319794882214,0.0009255530214656962
"C(dominance, Treatment(reference='-dom'))",7.808908024020678e-05,0.00024800155524017114
profession_embedding_1,1.5063746432342207e-05,4.7840652386643537e-05
