,Group
CEO,1.007493664562732
accountant,-0.8761444771713736
administrator,-1.250282464503888
agronomist,0.6141428043671238
binman,1.5826914071161113
bodyguard,1.3767155566501572
bookbinder,-1.4310250420609727
builder,-0.007379602225215585
cashier,-0.5624784777684704
chauffeur,0.33162051194566644
colonel,1.0424151697981041
doctor,0.4866566856162373
electrician,0.5226971241858537
farmer,1.0345912139694629
farmhand,0.7815151951432011
fisherman,1.2416488246497988
hawker,-0.1777448880938828
housekeeper,-1.9911070975399685
manager,0.2880336205217015
midwife,-3.1657421813648456
molder,-0.9901977032912994
paralegal,0.16112197084672458
programmer,0.05726280186482646
salesperson,-0.5203450614225619
scientist,-0.25668050728855735
scrivener,0.5376931035532532
sergeant,0.07064021755198895
soldier,1.2740049051356446
solicitor,-1.319253493826794
teacher,-1.3275255769232817
tradesperson,0.06623688264070418
welder,1.3987249135921218
