step,candidate_term,lr_stat,df_diff,p_value,candidate_model
0,C(tense):C(syntactic_role),87.89459482357051,5,1.8596467048562632e-17,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role
0,C(tense):C(valence),30.688406270106498,5,1.0792066576800889e-05,selected_mixed_random_slopes__candidate__0__C_tense_C_valence
0,C(tense):C(dominance),31.30452329662512,5,8.15565780883821e-06,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance
0,C(syntactic_role):C(valence),4.83306490664836,1,0.027918956410909166,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence
0,C(syntactic_role):C(dominance),0.8654049269171082,1,0.352230568159173,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance
0,C(valence):C(dominance),190.61663704727107,1,2.3320272201828046e-43,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance
1,C(tense):C(syntactic_role),87.8842719275126,5,1.8689480946646515e-17,selected_mixed_random_slopes__candidate__1__C_tense_C_syntactic_role
1,C(tense):C(valence),30.70929279158736,5,1.0690167747046555e-05,selected_mixed_random_slopes__candidate__1__C_tense_C_valence
1,C(tense):C(dominance),30.92265791254613,5,9.702436991911088e-06,selected_mixed_random_slopes__candidate__1__C_tense_C_dominance
1,C(syntactic_role):C(valence),4.747542008008168,1,0.029340175442535706,selected_mixed_random_slopes__candidate__1__C_syntactic_role_C_valence
1,C(valence):C(dominance),190.57992459475645,1,2.3754561697958683e-43,selected_mixed_random_slopes__candidate__1__C_valence_C_dominance
