profession,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5,profession_embedding_6,profession_embedding_7,profession_embedding_8,profession_embedding_9,profession_embedding_10
colonel,3.245380988006786,2.5017991973124234,-4.565469850417739,-1.5700571431616521,-2.224409601958469,-0.9658993977544399,2.907570075925139,-1.1748267610287904,2.069865799552727,-3.600989385037866
sergeant,2.319759212555199,1.3252746138329274,-2.4305167130145766,-0.2403817233567571,-2.075713041765457,-0.2717726152098303,0.0413449636063448,0.5783349131438299,0.2984642381528326,-0.6660107420355148
soldier,2.329041067531891,0.50054523614579,-1.5779509367925455,0.432434094195311,0.6842427514169676,0.30357411257163525,1.4246762340428412,0.41036837600813036,0.21753748515567814,0.12114106354099798
CEO,13.266959678360834,-6.528914332647135,4.232595095082878,-1.0843524898632748,0.884166294485568,-3.116170270335037,-0.7020525948816219,1.6430908133979831,0.7546218511201849,-0.46376054088085433
administrator,4.487768008391803,1.2918820556226922,-1.2319154326429198,-1.6639182485770163,0.8616802836308589,1.4719619981394367,-2.7581682590747243,-2.1151778831435752,-0.0473221229087166,-0.08956539984714204
scientist,5.232558214564057,-0.35064537966345755,-0.23918709394893883,-0.115582913702545,-1.0189955324472797,0.5432973607842724,0.9699549646178244,-1.533979897758807,0.010226475697850786,-1.2648495817016505
doctor,0.6706275606151764,0.7457503138033582,-0.4231110389180649,-0.08081085411949507,-0.02659609589362217,0.16055886437219907,0.2749765826757463,-0.00661555974793826,0.21094505608913067,-0.148634415644716
teacher,1.9093017690830387,-0.0775391558861415,-0.22495398040156492,0.05869023546044608,-0.08193253969011975,-0.2781329239457405,-0.16720135768811467,-0.28043784722560844,-0.5355897394447937,0.11317294463596905
manager,6.630790441289264,-2.4596438752881586,-0.8297718877287796,0.5778573916840606,0.8272982608045298,2.096103880031844,4.622655562153644,-1.3896511889390923,-0.7441309108505968,1.7340953606357092
solicitor,2.4490144724422866,1.751639864980059,-2.470159221113412,-1.0626229045297977,-1.0707194351098441,-1.1618898378546576,-0.3255225259154363,-0.8947014415322939,-1.7872618066631125,-0.19573818017025543
