predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(semantic_role),0.13301269605394347,0.01023423264046458,0.23270721763328805,500,0,0.5715881845295907
male_perc,0.13269514373935926,0.010234232640464596,0.23215165626379342,500,0,0.5715881845295907
"male_perc:C(dominance, Treatment(reference='-dom'))",0.13168212004994062,0.010207158334983198,0.23037935985033212,500,0,0.5715881845295907
male_perc:C(tense),0.13005844375293937,0.010152136352982268,0.22753871978647652,500,0,0.5715881845295907
C(syntactic_role):C(tense),0.013338442926651333,0.0007171324222985592,0.023335756909721096,500,0,0.5715881845295907
C(semantic_role):C(syntactic_role),0.009255751003696822,0.000544802047897218,0.016193041168816636,500,0,0.5715881845295907
C(syntactic_role),0.00850447713413692,0.0005474172684229674,0.014878679028566676,500,0,0.5715881845295907
"C(tense):C(dominance, Treatment(reference='-dom'))",0.005173048968545714,0.00028464358728097033,0.009050307736509744,500,0,0.5715881845295907
C(semantic_role):C(tense),0.0031231041891862867,0.0002550323842987371,0.005463906136822193,500,0,0.5715881845295907
C(tense),0.0029512254350266536,0.0002517000304804962,0.005163202310515694,500,0,0.5715881845295907
"C(valence, Treatment(reference='-val'))",0.0010741155294498367,8.828735619746582e-18,0.0018791772792396315,500,0,0.5715881845295907
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0003990653372578357,2.313718326146513e-05,0.0006981693255018227,500,0,0.5715881845295907
"C(dominance, Treatment(reference='-dom'))",0.0003205504094564253,2.2024521773074706e-05,0.0005608065704161362,500,0,0.5715881845295907
