target_model,best_model_name,best_model_aic,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,accountant,1.082287396952323,0.1347675893041019,-0.2493899869173494,0.074823043994049,0.0827913668985375
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,carpenter,2.5472855300727746,0.3291056959470405,-0.2406087844851216,0.1498664214303427,0.1643048865561402
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,cashier,0.1921352902926011,0.0663106475370974,-0.1308023300893566,0.0147571944298686,0.0754480705237966
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,ceo,1.496245962031544,0.3343193740580832,-0.3494591508834857,0.0369300798936851,0.2539107826035606
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,cleaner,0.016453354606327,0.1211874819299268,-0.0336074803748045,0.0576017873358143,0.1916586238684085
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,cook,0.5370245897883732,0.1185696484342371,0.4417876167871259,0.0743881329050486,0.087778766180605
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,designer,0.646432118406132,0.0828112977226767,0.1243996338996097,0.0878599430252528,0.0597108585807167
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,driver,1.7771437976812117,0.2100864646503819,-0.4121443591986264,0.1316419419209322,0.1262647250499294
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,lawyer,1.1965813382327932,0.1655361278878245,-0.2118287909633711,0.0550188914298345,0.0871353827039643
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,manager,1.202656738114558,0.1985814183151018,-0.2297132232579058,0.0413002483009462,0.118620831153904
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,receptionist,-0.7272429991331851,-0.0805955174672487,-0.2406668934770215,-0.0923951722245924,-0.0399946190708447
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,salesperson,1.4944047515481813,0.1421218183743969,-0.5716540504715025,0.0893968823803347,0.0642869219863574
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,secretary,-0.929880491402027,-0.1549404593051428,0.3413337484064619,-0.0760368987584362,-0.1368992995179694
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,teacher,0.045812449678328,0.0523286969310562,0.0057706369291341,-0.0200422465553271,0.0441398282528204
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,accountant,0.7359148230587796,0.0109752602278455,-0.1119652484152771,0.0930710668787161,0.0454044798678897
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,carpenter,2.7752644332755008,0.1290995333286727,-0.1731410332796214,0.2959431944047866,0.0493833832824876
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,cashier,-0.7826615089939292,0.0365056682842499,-0.0078957248954244,-0.1100946355386743,-0.0819606361871345
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,ceo,0.8449433472532554,-0.0181958992794747,-0.0957209502763978,0.092317381656107,0.1288719678759827
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,cleaner,-0.719745914521907,-0.050509185739114,0.33550112491127,-0.1594036864406236,0.1513996573787259
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,cook,-0.0616188271191557,0.0655599705719324,0.3424943768098643,-0.0312002584456513,-0.0126808670951942
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,designer,0.3194514142773953,0.0116071600985181,-0.0139755043793732,0.0466803902892499,0.022337667577672
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,driver,1.2410079339512168,0.0082066440963824,-0.2507998082320187,0.1121390209189374,0.0600716894721472
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,lawyer,1.1500873166659595,0.0516706448103679,0.0285392966877496,0.1234410628944716,0.0689685952204746
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,manager,0.5836905934342561,0.0145584353141665,-0.2091763146891624,0.0598189414441874,-0.0158207536736796
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,receptionist,-1.479741002533186,-0.0232078462599437,0.0858567125260921,-0.1621312385836336,-0.1171883699566262
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,salesperson,0.4991943335904257,0.0028804138964147,-0.104181548379816,0.0611457291670803,0.0242980873289025
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,secretary,-1.6087305795269595,0.0249607154535651,0.0061811452262691,-0.053122481969768,-0.3271034453125484
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,6969.46846106249,teacher,-0.7320624482234874,-0.0337445473167853,0.0316226144529096,-0.0552486822175443,-0.0589385417780698
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,accountant,-0.1135053513319292,-0.0570132328485842,-0.0545850209420839,-0.0135916715583989,-0.0127610589092139
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,carpenter,1.634097718963885,0.1109091108054355,-0.0390572978575536,0.0957493640259141,0.0357130711576391
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,cashier,-1.5682233222926247,-0.121857716364208,0.1676487763862279,-0.1437419861110101,-0.055447292192321
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,ceo,-0.3862483901953287,0.0395851769614447,0.019703142536909,-0.0484240762343178,0.0582173723316363
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,cleaner,-1.292194322648944,-0.1792572331642484,-0.1738725855804587,-0.0805497264670632,-0.0287954383551594
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,cook,-0.8546956124526333,-0.0519641526401524,0.1195127763135714,-0.0405756450313995,-0.0425474036891495
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,designer,-0.7219564654265228,-0.0365831493647262,0.1512338870899148,-0.0152831551870499,-0.0789714028726788
google_gemma-3-4b-pt,selected_mixed_random_slopes,4523.5520864519785,driver,0.4331809872109968,-0.0396747943469843,-0.1448244424363556,0.0509935081745986,0.0042470128872871
