target_model,model,term,coef,std_err,t,p_value,ci_low,ci_high
Qwen_Qwen3-4B-Base,Human-Perception Model,Intercept,-0.6040106490421489,0.0565957336374424,-10.67237069337236,1.6978281221492215e-26,-0.7149449959360137,-0.493076302148284
Qwen_Qwen3-4B-Base,Human-Perception Model,C(syntactic_role)[T.subject],-0.3007620847573768,0.0580759656521337,-5.178770277517147,2.261766745382495e-07,-0.4145978618695176,-0.1869263076452361
Qwen_Qwen3-4B-Base,Human-Perception Model,C(valence)[T.-val],0.1664977074136222,0.0580759656521336,2.8668952043073843,0.0041508423092735,0.0526619303014816,0.2803334845257628
Qwen_Qwen3-4B-Base,Human-Perception Model,C(syntactic_role)[non-subject]:C(dominance)[T.-dom],-0.020769635899387,0.0609286404522746,-0.3408846110008953,0.7331951157154732,-0.1401969937812284,0.0986577219824543
Qwen_Qwen3-4B-Base,Human-Perception Model,C(syntactic_role)[subject]:C(dominance)[T.-dom],0.0378049134577178,0.0609286404522749,0.6204785332003301,0.5349519944987584,-0.081622444424124,0.1572322713395597
Qwen_Qwen3-4B-Base,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.1945512135823487,0.0368500442840907,-5.279538121650025,1.3127448207479798e-07,-0.2667816686525719,-0.1223207585121255
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc,0.0418349125641829,0.0008179678297976,51.14493631679192,0.0,0.040231598654338,0.0434382264740279
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0021046450764365,0.0008179678297976,-2.573016932655305,0.0100909315152182,-0.0037079589862814,-0.0005013311665916
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc:C(valence)[T.-val],0.0010303890288917,0.0008179678297976,1.2596938306811742,0.2077989840979665,-0.0005729248809532,0.0026337029387366
Qwen_Qwen3-4B-Base,Human-Perception Model,male_perc:C(dominance)[T.-dom],0.0012083699107131,0.0008179678297975,1.4772829281222288,0.1396203279061857,-0.0003949439991317,0.002811683820558
Qwen_Qwen3-8B-Base,World-Knowledge Model,Intercept,-0.0301050846053308,0.0593962620074982,-0.5068515018930048,0.612266297218372,-0.1465287990843938,0.086318629873732
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(semantic_role)[T.patient],-0.1790251435314935,0.0609497403869762,-2.9372585083192173,0.0033161994630025,-0.2984938597865759,-0.059556427276411
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(valence)[T.-val],-0.0460743310839185,0.0639435741790565,-0.7205466956679641,0.4711994322607674,-0.1714113164661543,0.0792626542983173
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(dominance)[T.-dom],-0.1496698453598846,0.0609497403869752,-2.455627282571142,0.0140748974847873,-0.2691385616149651,-0.0302011291048042
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.1110776265462206,0.0386734961208757,2.8721899411173646,0.0040819621746559,0.0352729897204961,0.1868822633719451
Qwen_Qwen3-8B-Base,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],0.0492894490560065,0.0386734961208754,1.2745020233482545,0.2025048491865561,-0.0265151877697173,0.1250940858817305
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc,0.0368888191587995,0.0008584433562359,42.97175683267763,0.0,0.0352061684190905,0.0385714698985084
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0035412849548928,0.0008584433562359,4.125240097867852,3.7229993053012535e-05,0.0018586342151838,0.0052239356946018
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0028277412703479,0.0008584433562359,3.29403361305847,0.0009898422249896,0.001145090530639,0.0045103920100569
Qwen_Qwen3-8B-Base,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.0010596483911136,0.0008584433562359,1.2343835891046768,0.2170788979086583,-0.0006230023485953,0.0027422991308225
Qwen_Qwen3-8B-Base,Human-Perception Model,Intercept,0.16792541932724,0.0596189526912516,2.816644904798555,0.0048590083634303,0.0510652041094669,0.284785634545013
Qwen_Qwen3-8B-Base,Human-Perception Model,C(syntactic_role)[T.subject],-0.5750861513965713,0.0633495300995246,-9.077986063875896,1.2381954643011842e-19,-0.6992587406017745,-0.4509135621913679
Qwen_Qwen3-8B-Base,Human-Perception Model,C(valence)[T.-val],0.0795511521110625,0.0633495300995236,1.2557496793754557,0.2092258560910502,-0.0446214370941387,0.2037237413162639
Qwen_Qwen3-8B-Base,Human-Perception Model,C(dominance)[T.-dom],-0.1922023211492794,0.0633495300995243,-3.033997582102389,0.0024173997176161,-0.3163749103544822,-0.0680297319440766
Qwen_Qwen3-8B-Base,Human-Perception Model,C(syntactic_role)[T.subject]:C(valence)[T.-val],-0.1401733398437482,0.0383142143368903,-3.65852053264692,0.0002545246458959,-0.2152737421687608,-0.0650729375187357
Qwen_Qwen3-8B-Base,Human-Perception Model,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0850649515787806,0.0383142143368903,2.220193028906167,0.0264202168408323,0.009964549253768,0.1601653539037933
Qwen_Qwen3-8B-Base,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],0.049289449056003,0.0383142143368903,1.2864533413789807,0.1983042958492444,-0.0258109532690095,0.1243898513810157
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc,0.0365272520808392,0.000850468306359,42.9495747316167,0.0,0.0348602333757019,0.0381942707859765
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],0.0042644191108133,0.000850468306359,5.01420109241903,5.384818711883099e-07,0.0025974004056759,0.0059314378159506
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc:C(valence)[T.-val],0.0028277412703479,0.000850468306359,3.324922574074397,0.0008865033223807,0.0011607225652106,0.0044947599754852
Qwen_Qwen3-8B-Base,Human-Perception Model,male_perc:C(dominance)[T.-dom],0.0010596483911136,0.000850468306359,1.2459587067390612,0.2127985725375779,-0.0006073703140236,0.0027266670962509
allenai_Olmo-3-1025-7B,World-Knowledge Model,Intercept,-0.7437407128007278,0.0305351479231989,-24.356872764178537,1.333434896334502e-128,-0.803593220887045,-0.6838882047144107
allenai_Olmo-3-1025-7B,World-Knowledge Model,C(dominance)[T.-dom],-0.0247319221496607,0.0193749951560179,-1.276486623635563,0.2018028575736559,-0.0627092084285618,0.0132453641292403
allenai_Olmo-3-1025-7B,World-Knowledge Model,male_perc,0.041334141472685,0.0004757743394889,86.87761832024414,0.0,0.0404015673920502,0.0422667155533197
allenai_Olmo-3-1025-7B,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0010487544596191,0.0002877514638314,3.644653777447291,0.0002686353231804,0.0004847274943941,0.0016127814248442
allenai_Olmo-3-1025-7B,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0027679393205213,0.0002877514638314,9.61920152782567,7.645343172211252e-22,0.0022039123552962,0.0033319662857463
allenai_Olmo-3-1025-7B,Human-Perception Model,Intercept,-0.6664700826510805,0.0450925466762684,-14.78004973717385,4.284467377536825e-49,-0.754856818583659,-0.578083346718502
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role)[T.subject],-0.1469231605529854,0.0334015729897043,-4.398689864045414,1.0963949444439147e-05,-0.2123942024253547,-0.081452118680616
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],0.0538257695265321,0.0607847610187567,0.8855142082391804,0.3758932293856287,-0.0653195663858714,0.1729711054389358
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.069061969019193,0.0607847610187559,-1.136172419891279,0.2559021463065402,-0.1882073049315952,0.050083366893209
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role)[non-subject]:C(dominance)[T.-dom],0.002207247416175,0.0272722701437013,0.0809337618227161,0.9354956849793212,-0.0512496344223902,0.0556641292547404
allenai_Olmo-3-1025-7B,Human-Perception Model,C(syntactic_role)[subject]:C(dominance)[T.-dom],-0.051671091715494,0.0272722701437013,-1.8946384530232356,0.0581590902566102,-0.1051279735540594,0.0017857901230712
allenai_Olmo-3-1025-7B,Human-Perception Model,male_perc,0.0418052073852113,0.000605368054679,69.05750487176638,0.0,0.0406186142487652,0.0429918005216575
allenai_Olmo-3-1025-7B,Human-Perception Model,male_perc:C(valence)[T.-val],0.002874561955088,0.0008561197131545,3.3576635497576937,0.0007879519391381,0.001196465848507,0.0045526580616689
allenai_Olmo-3-1125-32B,World-Knowledge Model,Intercept,-0.9644042638097432,0.0638587226150428,-15.102154009929478,3.653413421850411e-51,-1.0895749307111262,-0.8392335969083601
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(semantic_role)[T.patient],-0.1115516195774319,0.0678545980398034,-1.6439802577858595,0.1002007604860063,-0.2445546760301574,0.0214514368752935
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(dominance)[T.-dom],-0.0156900721201281,0.0678545980398054,-0.2312307872036006,0.8171385954340281,-0.1486931285728575,0.1173129843326013
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(semantic_role)[agent]:C(valence)[T.-val],-0.0112524493108577,0.0678545980398047,-0.1658317879100381,0.8682915134418813,-0.1442555057635857,0.1217506071418701
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(semantic_role)[patient]:C(valence)[T.-val],-0.0688372754623792,0.0678545980398047,-1.0144821051330684,0.3103687549509196,-0.2018403319151072,0.0641657809903487
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0271994908650726,0.0410389091909007,-0.662773241329313,0.5074857459212846,-0.1076406181218255,0.0532416363916802
allenai_Olmo-3-1125-32B,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],0.0359806696573951,0.0410389091909008,0.8767452733702952,0.3806387316563395,-0.044460457599358,0.1164217969141482
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc,0.0454661792444004,0.0009109489049551,49.91078972386264,0.0,0.0436806113959219,0.0472517470928788
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0025507458033946,0.0009109489049551,2.800097557085499,0.0051150995165814,0.0007651779549162,0.0043363136518731
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0023702961345905,0.0009109489049551,2.602007776393586,0.009276876464944,0.0005847282861121,0.0041558639830689
allenai_Olmo-3-1125-32B,World-Knowledge Model,male_perc:C(dominance)[T.-dom],-0.0015366306294176,0.0009109489049551,-1.686846123925278,0.0916532646239027,-0.003322198477896,0.0002489372190608
allenai_Olmo-3-1125-32B,Human-Perception Model,Intercept,-0.8057106347135202,0.062064330088895,-12.981863069487693,2.4678438646337656e-38,-0.927364079534926,-0.6840571898921145
allenai_Olmo-3-1125-32B,Human-Perception Model,C(syntactic_role)[T.subject],-0.4289388777698781,0.0659479237656983,-6.504205944281496,8.052042858748926e-11,-0.5582046266054101,-0.2996731289343461
allenai_Olmo-3-1125-32B,Human-Perception Model,C(dominance)[T.-dom],-0.0857174234995269,0.0659479237656976,-1.2997744069103252,0.1936978190571772,-0.2149831723350575,0.0435483253360035
allenai_Olmo-3-1125-32B,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],0.0126338498224463,0.0659479237656986,0.1915731246874757,0.8480791300021442,-0.1166318990130862,0.1418995986579788
allenai_Olmo-3-1125-32B,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.092723574595684,0.0659479237656986,-1.4060120364837343,0.1597407934175211,-0.2219893234312167,0.0365421742398485
allenai_Olmo-3-1125-32B,Human-Perception Model,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.1128552118937224,0.0398857399930553,2.829462657916641,0.0046686735369759,0.0346744329752001,0.1910359908122447
allenai_Olmo-3-1125-32B,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],0.0359806696573938,0.0398857399930556,0.9020935718795304,0.3670213186005631,-0.0422001092611291,0.1141614485759167
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc,0.0480722840737902,0.0008853517767976,54.29738250220812,0.0,0.0463368896310899,0.0498076785164904
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0026614638553849,0.0008853517767976,-3.0061088994610032,0.0026504206019253,-0.0043968582980852,-0.0009260694126846
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc:C(valence)[T.-val],0.0023702961345905,0.0008853517767976,2.6772365478997417,0.0074311138908286,0.0006349016918903,0.0041056905772908
allenai_Olmo-3-1125-32B,Human-Perception Model,male_perc:C(dominance)[T.-dom],-0.0015366306294176,0.0008853517767976,-1.7356159096169763,0.0826518400497015,-0.0032720250721178,0.0001987638132826
google_gemma-3-12b-pt,World-Knowledge Model,Intercept,-0.524355784728555,0.0544031963738802,-9.638326783687036,6.354551935170955e-22,-0.6309924992262136,-0.4177190702308965
google_gemma-3-12b-pt,World-Knowledge Model,C(valence)[T.-val],-0.0397829941559888,0.0578074047030905,-0.6881989316130277,0.4913379170089283,-0.153092360554425,0.0735263722424473
google_gemma-3-12b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.014309380391051,0.0578074047030909,0.247535423265351,0.8044971914557318,-0.0989999860073858,0.1276187467894879
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[+val],0.0112924127229648,0.0578074047030912,0.1953454368166945,0.845125114428341,-0.1020169536754728,0.1246017791214024
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[-val],0.0488595513948486,0.057807404703091,0.8452126789950141,0.3980052792222673,-0.0644498150035886,0.1621689177932858
google_gemma-3-12b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0386423746744762,0.0349623002818491,-1.1052583600895851,0.2690649796002685,-0.1071726280756706,0.0298878787267181
google_gemma-3-12b-pt,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0498906453450428,0.0349623002818485,-1.4269840640589848,0.1536048295159713,-0.118420898746236,0.0186396080561504
google_gemma-3-12b-pt,World-Knowledge Model,male_perc,0.0399271698435791,0.0007760651972573,51.44821592912837,0.0,0.0384059900529145,0.0414483496342437
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],-0.0004091818373939,0.0007760651972573,-0.5272518840426843,0.5980263032254184,-0.0019303616280584,0.0011119979532706
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0018299398805684,0.0007760651972573,2.35797183926742,0.0183875591556366,0.0003087600899038,0.003351119671233
google_gemma-3-12b-pt,World-Knowledge Model,male_perc:C(dominance)[T.-dom],0.0004849259353072,0.0007760651972573,0.6248520575603116,0.5320774488680526,-0.0010362538553573,0.0020061057259718
google_gemma-3-12b-pt,Human-Perception Model,Intercept,-0.4567297295800823,0.0483524271561635,-9.445849080233042,4.022958550025955e-21,-0.5515062185936201,-0.3619532405665444
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[T.subject],-0.1547296120234227,0.0576164900031807,-2.685509166123809,0.0072497244252422,-0.26766476239651,-0.0417944616503355
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],-0.0047472885895699,0.0576164900031807,-0.0823946163556277,0.9343339913348118,-0.1176824389626571,0.1081878617835173
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.037251561050497,0.0576164900031809,-0.6465433949280908,0.5179371697429491,-0.1501867114235845,0.0756835893225905
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(dominance)[T.-dom],-0.0144337972005202,0.0301782433209343,-0.4782848705612924,0.6324542747474189,-0.0735867314951499,0.0447191370941093
google_gemma-3-12b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(dominance)[T.-dom],0.0659500122070431,0.0301782433209343,2.1853496078512373,0.0288782848654524,0.0067970779124134,0.1251029465016728
google_gemma-3-12b-pt,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0498906453450626,0.034846833810023,-1.431712436689516,0.1522464959646215,-0.118194570421784,0.0184132797316587
google_gemma-3-12b-pt,Human-Perception Model,male_perc,0.0402922424584861,0.0006698725246033,60.1491193900583,0.0,0.0389792129023174,0.0416052720146549
google_gemma-3-12b-pt,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0006544011319007,0.0007735021648049,-0.8460236592431774,0.3975527338898499,-0.0021705570673167,0.0008617548035151
google_gemma-3-12b-pt,Human-Perception Model,male_perc:C(valence)[T.-val],0.0018299398805684,0.0007735021648049,2.3657850796446818,0.0180042387221431,0.0003137839451524,0.0033460958159843
google_gemma-3-27b-pt,World-Knowledge Model,Intercept,-0.4942585133613713,0.0563545686771309,-8.770513641814887,1.9627089918584927e-18,-0.6047201489123872,-0.3837968778103554
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient],0.0466108691162224,0.0598808815570069,0.7783931683077953,0.4363492639214125,-0.070762757730608,0.163984495963053
google_gemma-3-27b-pt,World-Knowledge Model,C(valence)[T.-val],-0.0496922766643433,0.0598808815570069,-0.8298521226184022,0.4066353031537654,-0.1670659035111738,0.0676813501824871
google_gemma-3-27b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.1353275108862178,0.059880881557007,2.259945200662836,0.0238386074260833,0.0179538840393871,0.2527011377330485
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(valence)[T.-val],0.0136048634846972,0.0362163527819811,0.3756552617707589,0.7071783929599256,-0.0573834814871214,0.084593208456516
google_gemma-3-27b-pt,World-Knowledge Model,C(semantic_role)[T.patient]:C(dominance)[T.-dom],-0.0644329071044923,0.0362163527819812,-1.7791108754758336,0.0752413704151906,-0.1354212520763112,0.0065554378673265
google_gemma-3-27b-pt,World-Knowledge Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0666200002034397,0.0362163527819812,-1.839500531831169,0.0658609006111111,-0.1376083451752586,0.0043683447683791
google_gemma-3-27b-pt,World-Knowledge Model,male_perc,0.0409475800330978,0.0008039016523258,50.93605656192865,0.0,0.039371837490433,0.0425233225757625
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(semantic_role)[T.patient],0.0004839946096627,0.0008039016523258,0.602056990755524,0.5471450952762732,-0.001091747933002,0.0020597371523274
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(valence)[T.-val],0.0029662189272219,0.0008039016523258,3.689778368585301,0.0002252252910881,0.0013904763845571,0.0045419614698867
google_gemma-3-27b-pt,World-Knowledge Model,male_perc:C(dominance)[T.-dom],-0.0012852612348188,0.0008039016523258,-1.5987791928282815,0.1098902569248699,-0.0028610037774836,0.0002904813078459
google_gemma-3-27b-pt,Human-Perception Model,Intercept,-0.4665087320261395,0.0562323021565923,-8.296098757028188,1.1644715389482842e-16,-0.5767307107019658,-0.3562867533503134
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[T.subject],-0.0088886935542354,0.0597509643700512,-0.1487623446407612,0.8817431188657922,-0.1260076673126973,0.1082302802042264
google_gemma-3-27b-pt,Human-Perception Model,C(dominance)[T.-dom],0.0734201876847214,0.0597509643700506,1.2287699195951782,0.2191769212670795,-0.0436987860737391,0.190539161443182
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[non-subject]:C(valence)[T.-val],-0.030031708427038,0.0597509643700515,-0.5026146229380452,0.6152424572527067,-0.1471506821855004,0.0870872653314243
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[subject]:C(valence)[T.-val],-0.0557479814169392,0.0597509643700515,-0.933005550700054,0.3508317784698037,-0.1728669551754017,0.0613709923415231
google_gemma-3-27b-pt,Human-Perception Model,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],0.0593817392985048,0.0361377780089835,1.6432039425263774,0.1003612268677789,-0.0114525898030462,0.130216068400056
google_gemma-3-27b-pt,Human-Perception Model,C(valence)[T.-val]:C(dominance)[T.-dom],-0.0666200002034453,0.0361377780089838,-1.843500178314328,0.0652752811161466,-0.1374543293049971,0.0042143288981063
google_gemma-3-27b-pt,Human-Perception Model,male_perc,0.0424112653762175,0.0008021575123174,52.87149309826697,0.0,0.0408389415547403,0.0439835891976946
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(syntactic_role)[T.subject],-0.0024433760765765,0.0008021575123175,-3.0460053531350204,0.0023229718497656,-0.0040156998980537,-0.0008710522550993
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(valence)[T.-val],0.0029662189272218,0.0008021575123175,3.6978010947653135,0.0002182330258934,0.0013938951057446,0.004538542748699
google_gemma-3-27b-pt,Human-Perception Model,male_perc:C(dominance)[T.-dom],-0.0012852612348188,0.0008021575123174,-1.6022554362242607,0.1091197133216507,-0.002857585056296,0.0002870625866583
google_gemma-3-4b-pt,World-Knowledge Model,Intercept,-0.5493413730945734,0.0512365453785539,-10.72167081203158,1.0014052950471679e-26,-0.6497710762287515,-0.4489116699603953
google_gemma-3-4b-pt,World-Knowledge Model,C(semantic_role)[T.patient],-0.2266593378221596,0.0544426046942393,-4.163271377170957,3.15432321236433e-05,-0.3333732972996551,-0.1199453783446641
google_gemma-3-4b-pt,World-Knowledge Model,C(valence)[T.-val],0.0645298329798608,0.0544426046942392,1.1852818824939306,0.2359243645778196,-0.0421841264976345,0.1712437924573562
google_gemma-3-4b-pt,World-Knowledge Model,C(dominance)[T.-dom],0.032135914899762,0.0544426046942393,0.5902714442162313,0.5550173705921551,-0.0745780445777335,0.1388498743772576
